NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_,IMPNUM
05573644,07,2024,900200,2,2689.7500,,1
05573644,07,2024,900200,2,2695.9167,,2
05573644,07,2024,900200,2,2829.3333,,3
05573644,07,2024,900200,2,2859.3333,,4
05573644,07,2024,900200,2,2633.7500,,5
05573644,08,2024,900200,2,2689.7500,,1
05573644,08,2024,900200,2,2695.9167,,2
05573644,08,2024,900200,2,2829.3333,,3
05573644,08,2024,900200,2,2859.3333,,4
05573644,08,2024,900200,2,2633.7500,,5
05573644,09,2024,900200,2,2689.7500,,1
05573644,09,2024,900200,2,2695.9167,,2
05573644,09,2024,900200,2,2829.3333,,3
05573644,09,2024,900200,2,2859.3333,,4
05573644,09,2024,900200,2,2633.7500,,5
05573644,07,2024,980000,2,2689.7500,,1
05573644,07,2024,980000,2,2695.9167,,2
05573644,07,2024,980000,2,2829.3333,,3
05573644,07,2024,980000,2,2859.3333,,4
05573644,07,2024,980000,2,2633.7500,,5
05573644,08,2024,980000,2,2689.7500,,1
05573644,08,2024,980000,2,2695.9167,,2
05573644,08,2024,980000,2,2829.3333,,3
05573644,08,2024,980000,2,2859.3333,,4
05573644,08,2024,980000,2,2633.7500,,5
05573644,09,2024,980000,2,2689.7500,,1
05573644,09,2024,980000,2,2695.9167,,2
05573644,09,2024,980000,2,2829.3333,,3
05573644,09,2024,980000,2,2859.3333,,4
05573644,09,2024,980000,2,2633.7500,,5
05573644,07,2024,980071,1,2689.7500,,1
05573644,07,2024,980071,1,2695.9167,,2
05573644,07,2024,980071,1,2829.3333,,3
05573644,07,2024,980071,1,2859.3333,,4
05573644,07,2024,980071,1,2633.7500,,5
05573644,08,2024,980071,1,2689.7500,,1
05573644,08,2024,980071,1,2695.9167,,2
05573644,08,2024,980071,1,2829.3333,,3
05573644,08,2024,980071,1,2859.3333,,4
05573644,08,2024,980071,1,2633.7500,,5
05573644,09,2024,980071,1,2689.7500,,1
05573644,09,2024,980071,1,2695.9167,,2
05573644,09,2024,980071,1,2829.3333,,3
05573644,09,2024,980071,1,2859.3333,,4
05573644,09,2024,980071,1,2633.7500,,5
05573664,07,2024,800940,2,589.3333,,1
05573664,07,2024,800940,2,390.0833,,2
05573664,07,2024,800940,2,358.0833,,3
05573664,07,2024,800940,2,411.6667,,4
05573664,07,2024,800940,2,416.5833,,5
05573664,08,2024,800940,2,589.3333,,1
05573664,08,2024,800940,2,390.0833,,2
05573664,08,2024,800940,2,358.0833,,3
05573664,08,2024,800940,2,411.6667,,4
05573664,08,2024,800940,2,416.5833,,5
05573664,09,2024,800940,2,589.3333,,1
05573664,09,2024,800940,2,390.0833,,2
05573664,09,2024,800940,2,358.0833,,3
05573664,09,2024,800940,2,411.6667,,4
05573664,09,2024,800940,2,416.5833,,5
