NEWID,SEQNO,ALCNO,EXPNAME,COST_,REF_MO,REF_YR,RTYPE,GIFT,UCCSEQ,UCC,COST,PUBFLAG
05573644,21,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,1300,2
05573644,21,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,1300,2
05573644,21,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,1300,2
05573664,27,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,1600,2
05573664,27,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,1600,2
05573664,27,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,1600,2
05573804,7,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,283,2
05573804,7,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,283,2
05573804,7,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,283,2
05573934,16,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,1540,2
05573934,16,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,1540,2
05573934,16,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,1540,2
05573964,14,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,552,2
05573964,14,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,552,2
05573964,14,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,552,2
05574194,7,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,183,2
05574194,7,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,183,2
05574194,7,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,183,2
05574214,13,0,QRT3MCMX,F,09,2024,RNT,2,1,210110,926.66666667,2
05574214,13,0,QRT3MCMX,F,08,2024,RNT,2,1,210110,926.66666667,2
05574214,13,0,QRT3MCMX,F,07,2024,RNT,2,1,210110,926.66666667,2
05574504,10,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,800,2
05574504,10,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,800,2
05574504,10,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,800,2
05574574,18,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,2100,2
05574574,18,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,2100,2
05574574,18,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,2100,2
05574644,45,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,2200,2
05574644,45,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,2200,2
05574644,45,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,2200,2
05574824,10,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,650,2
05574824,10,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,650,2
05574824,10,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,650,2
05574934,26,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,1100,2
05574934,26,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,1100,2
05574934,26,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,1100,2
05574954,50,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,1734,2
05574954,50,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,1734,2
05574954,50,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,1734,2
05574994,16,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,629,2
05574994,16,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,629,2
05574994,16,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,629,2
05575014,13,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,500,2
05575014,13,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,500,2
05575014,13,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,500,2
05575124,15,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,1935,2
05575124,15,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,1935,2
05575124,15,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,1935,2
05575154,17,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,2627,2
05575154,17,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,2627,2
05575154,17,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,2627,2
05575194,17,0,QRT3MCMX,F,09,2024,RNT,2,1,210110,728,2
05575194,17,0,QRT3MCMX,F,08,2024,RNT,2,1,210110,728,2
05575194,17,0,QRT3MCMX,F,07,2024,RNT,2,1,210110,728,2
05575334,9,0,QRT3MCMX,D,09,2024,RNT,2,1,210110,1240,2
05575334,9,0,QRT3MCMX,D,08,2024,RNT,2,1,210110,1240,2
05575334,9,0,QRT3MCMX,D,07,2024,RNT,2,1,210110,1240,2
