NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_,IMPNUM
05654534,10,2024,900030,2,3685.0000,,1
05654534,10,2024,900030,2,3685.0000,,2
05654534,10,2024,900030,2,3685.0000,,3
05654534,10,2024,900030,2,3685.0000,,4
05654534,10,2024,900030,2,3685.0000,,5
05654534,11,2024,900030,2,3685.0000,,1
05654534,11,2024,900030,2,3685.0000,,2
05654534,11,2024,900030,2,3685.0000,,3
05654534,11,2024,900030,2,3685.0000,,4
05654534,11,2024,900030,2,3685.0000,,5
05654534,12,2024,900030,2,3685.0000,,1
05654534,12,2024,900030,2,3685.0000,,2
05654534,12,2024,900030,2,3685.0000,,3
05654534,12,2024,900030,2,3685.0000,,4
05654534,12,2024,900030,2,3685.0000,,5
05654534,10,2024,900170,2,233.3333,,1
05654534,10,2024,900170,2,233.3333,,2
05654534,10,2024,900170,2,233.3333,,3
05654534,10,2024,900170,2,233.3333,,4
05654534,10,2024,900170,2,233.3333,,5
05654534,11,2024,900170,2,233.3333,,1
05654534,11,2024,900170,2,233.3333,,2
05654534,11,2024,900170,2,233.3333,,3
05654534,11,2024,900170,2,233.3333,,4
05654534,11,2024,900170,2,233.3333,,5
05654534,12,2024,900170,2,233.3333,,1
05654534,12,2024,900170,2,233.3333,,2
05654534,12,2024,900170,2,233.3333,,3
05654534,12,2024,900170,2,233.3333,,4
05654534,12,2024,900170,2,233.3333,,5
05654534,10,2024,900200,2,9000.0000,,1
05654534,10,2024,900200,2,9000.0000,,2
05654534,10,2024,900200,2,9000.0000,,3
05654534,10,2024,900200,2,9000.0000,,4
05654534,10,2024,900200,2,9000.0000,,5
05654534,11,2024,900200,2,9000.0000,,1
05654534,11,2024,900200,2,9000.0000,,2
05654534,11,2024,900200,2,9000.0000,,3
05654534,11,2024,900200,2,9000.0000,,4
05654534,11,2024,900200,2,9000.0000,,5
05654534,12,2024,900200,2,9000.0000,,1
05654534,12,2024,900200,2,9000.0000,,2
05654534,12,2024,900200,2,9000.0000,,3
05654534,12,2024,900200,2,9000.0000,,4
05654534,12,2024,900200,2,9000.0000,,5
05654534,10,2024,980000,2,12918.3333,,1
05654534,10,2024,980000,2,12918.3333,,2
05654534,10,2024,980000,2,12918.3333,,3
05654534,10,2024,980000,2,12918.3333,,4
05654534,10,2024,980000,2,12918.3333,,5
05654534,11,2024,980000,2,12918.3333,,1
05654534,11,2024,980000,2,12918.3333,,2
05654534,11,2024,980000,2,12918.3333,,3
05654534,11,2024,980000,2,12918.3333,,4
05654534,11,2024,980000,2,12918.3333,,5
05654534,12,2024,980000,2,12918.3333,,1
05654534,12,2024,980000,2,12918.3333,,2
05654534,12,2024,980000,2,12918.3333,,3
05654534,12,2024,980000,2,12918.3333,,4
05654534,12,2024,980000,2,12918.3333,,5
05654534,10,2024,980071,1,12909.3333,,1
05654534,10,2024,980071,1,12909.3333,,2
05654534,10,2024,980071,1,12909.3333,,3
05654534,10,2024,980071,1,12909.3333,,4
05654534,10,2024,980071,1,12909.3333,,5
05654534,11,2024,980071,1,12909.3333,,1
05654534,11,2024,980071,1,12909.3333,,2
05654534,11,2024,980071,1,12909.3333,,3
05654534,11,2024,980071,1,12909.3333,,4
05654534,11,2024,980071,1,12909.3333,,5
05654534,12,2024,980071,1,12909.3333,,1
05654534,12,2024,980071,1,12909.3333,,2
