NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05573644,07,2024,005800,2,23208.3333,
05573644,08,2024,005800,2,23208.3333,
05573644,09,2024,005800,2,23208.3333,
05573644,07,2024,005810,2,37500.0000,
05573644,08,2024,005810,2,37500.0000,
05573644,09,2024,005810,2,37500.0000,
05573644,07,2024,900200,2,2741.6167,
05573644,08,2024,900200,2,2741.6167,
05573644,09,2024,900200,2,2741.6167,
05573644,07,2024,980000,2,2741.6167,
05573644,08,2024,980000,2,2741.6167,
05573644,09,2024,980000,2,2741.6167,
05573644,07,2024,980010,2,0.0833,
05573644,08,2024,980010,2,0.0833,
05573644,09,2024,980010,2,0.0833,
05573644,07,2024,980020,2,5.4167,
05573644,08,2024,980020,2,5.4167,
05573644,09,2024,980020,2,5.4167,
05573644,07,2024,980040,2,0.0833,
05573644,08,2024,980040,2,0.0833,
05573644,09,2024,980040,2,0.0833,
05573644,07,2024,980060,2,0.0833,
05573644,08,2024,980060,2,0.0833,
05573644,09,2024,980060,2,0.0833,
05573644,07,2024,980071,1,2741.6167,
05573644,08,2024,980071,1,2741.6167,
05573644,09,2024,980071,1,2741.6167,
05573644,07,2024,980220,2,8.3333,
05573644,08,2024,980220,2,8.3333,
05573644,09,2024,980220,2,8.3333,
05573644,07,2024,980260,2,8.3333,
05573644,08,2024,980260,2,8.3333,
05573644,09,2024,980260,2,8.3333,
05573644,07,2024,980281,2,8.3333,
05573644,08,2024,980281,2,8.3333,
05573644,09,2024,980281,2,8.3333,
05573644,07,2024,980286,2,8.3333,
05573644,08,2024,980286,2,8.3333,
05573644,09,2024,980286,2,8.3333,
05573644,07,2024,980310,2,8.3333,
05573644,08,2024,980310,2,8.3333,
05573644,09,2024,980310,2,8.3333,
05573644,07,2024,980330,2,8.3333,
05573644,08,2024,980330,2,8.3333,
05573644,09,2024,980330,2,8.3333,
05573644,07,2024,980350,2,8.3333,
05573644,08,2024,980350,2,8.3333,
05573644,09,2024,980350,2,8.3333,
05573664,07,2024,005100,2,0.8333,
05573664,08,2024,005100,2,0.8333,
05573664,09,2024,005100,2,0.8333,
05573664,07,2024,005110,2,333.3333,
05573664,08,2024,005110,2,333.3333,
05573664,09,2024,005110,2,333.3333,
05573664,07,2024,005200,2,16.6667,
05573664,08,2024,005200,2,16.6667,
05573664,09,2024,005200,2,16.6667,
05573664,07,2024,005210,2,500.0000,
05573664,08,2024,005210,2,500.0000,
05573664,09,2024,005210,2,500.0000,
05573664,07,2024,005400,2,350.0000,
05573664,08,2024,005400,2,350.0000,
05573664,09,2024,005400,2,350.0000,
05573664,07,2024,005410,2,350.0000,
05573664,08,2024,005410,2,350.0000,
