NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05537984,04,2024,005100,2,0.1667,
05537984,05,2024,005100,2,0.1667,
05537984,06,2024,005100,2,0.1667,
05537984,04,2024,005110,2,0.0833,
05537984,05,2024,005110,2,0.0833,
05537984,06,2024,005110,2,0.0833,
05537984,04,2024,900090,2,942.0000,
05537984,05,2024,900090,2,942.0000,
05537984,06,2024,900090,2,942.0000,
05537984,04,2024,900150,2,150.0000,
05537984,05,2024,900150,2,150.0000,
05537984,06,2024,900150,2,150.0000,
05537984,04,2024,980000,2,1092.0000,
05537984,05,2024,980000,2,1092.0000,
05537984,06,2024,980000,2,1092.0000,
05537984,04,2024,980010,2,0.0833,
05537984,05,2024,980010,2,0.0833,
05537984,06,2024,980010,2,0.0833,
05537984,04,2024,980020,2,4.5000,
05537984,05,2024,980020,2,4.5000,
05537984,06,2024,980020,2,4.5000,
05537984,04,2024,980040,2,0.0833,
05537984,05,2024,980040,2,0.0833,
05537984,06,2024,980040,2,0.0833,
05537984,04,2024,980071,1,1092.0000,
05537984,05,2024,980071,1,1092.0000,
05537984,06,2024,980071,1,1092.0000,
05537984,04,2024,980220,2,8.3333,
05537984,05,2024,980220,2,8.3333,
05537984,06,2024,980220,2,8.3333,
05537984,04,2024,980260,2,8.3333,
05537984,05,2024,980260,2,8.3333,
05537984,06,2024,980260,2,8.3333,
05537984,04,2024,980281,2,8.3333,
05537984,05,2024,980281,2,8.3333,
05537984,06,2024,980281,2,8.3333,
05537984,04,2024,980286,2,8.3333,
05537984,05,2024,980286,2,8.3333,
05537984,06,2024,980286,2,8.3333,
05537984,04,2024,980300,2,8.3333,
05537984,05,2024,980300,2,8.3333,
05537984,06,2024,980300,2,8.3333,
05537984,04,2024,980330,2,8.3333,
05537984,05,2024,980330,2,8.3333,
05537984,06,2024,980330,2,8.3333,
05537984,04,2024,980350,2,8.3333,
05537984,05,2024,980350,2,8.3333,
05537984,06,2024,980350,2,8.3333,
05538004,04,2024,800940,2,281.5833,
05538004,05,2024,800940,2,281.5833,
05538004,06,2024,800940,2,281.5833,
05538004,04,2024,900000,2,3680.9500,
05538004,05,2024,900000,2,3680.9500,
05538004,06,2024,900000,2,3680.9500,
05538004,04,2024,980000,2,3680.9500,
05538004,05,2024,980000,2,3680.9500,
05538004,06,2024,980000,2,3680.9500,
05538004,04,2024,980010,2,0.1667,
05538004,05,2024,980010,2,0.1667,
05538004,06,2024,980010,2,0.1667,
05538004,04,2024,980020,2,6.0000,
05538004,05,2024,980020,2,6.0000,
05538004,06,2024,980020,2,6.0000,
05538004,04,2024,980030,2,0.0833,
05538004,05,2024,980030,2,0.0833,
05538004,06,2024,980030,2,0.0833,
05538004,04,2024,980040,2,0.1667,
05538004,05,2024,980040,2,0.1667,
05538004,06,2024,980040,2,0.1667,
05538004,04,2024,980060,2,0.0833,
05538004,05,2024,980060,2,0.0833,
05538004,06,2024,980060,2,0.0833,
05538004,04,2024,980071,1,3680.9500,
05538004,05,2024,980071,1,3680.9500,
05538004,06,2024,980071,1,3680.9500,
05538004,04,2024,980090,1,8.3333,
05538004,05,2024,980090,1,8.3333,
05538004,06,2024,980090,1,8.3333,
05538004,04,2024,980220,2,8.3333,
05538004,05,2024,980220,2,8.3333,
05538004,06,2024,980220,2,8.3333,
05538004,04,2024,980240,2,8.3333,
05538004,05,2024,980240,2,8.3333,
05538004,06,2024,980240,2,8.3333,
05538004,04,2024,980281,2,8.3333,
05538004,05,2024,980281,2,8.3333,
05538004,06,2024,980281,2,8.3333,
05538004,04,2024,980286,2,8.3333,
05538004,05,2024,980286,2,8.3333,
05538004,06,2024,980286,2,8.3333,
05538004,04,2024,980310,2,8.3333,
05538004,05,2024,980310,2,8.3333,
05538004,06,2024,980310,2,8.3333,
05538004,04,2024,980330,2,8.3333,
05538004,05,2024,980330,2,8.3333,
05538004,06,2024,980330,2,8.3333,
05538004,04,2024,980350,2,8.3333,
05538004,05,2024,980350,2,8.3333,
05538004,06,2024,980350,2,8.3333,
05538034,04,2024,005100,2,6666.6667,
05538034,05,2024,005100,2,6666.6667,
05538034,06,2024,005100,2,6666.6667,
05538034,04,2024,005110,2,6666.6667,
05538034,05,2024,005110,2,6666.6667,
05538034,06,2024,005110,2,6666.6667,
05538034,04,2024,005200,2,11666.6667,
05538034,05,2024,005200,2,11666.6667,
05538034,06,2024,005200,2,11666.6667,
05538034,04,2024,005210,2,10000.0000,
05538034,05,2024,005210,2,10000.0000,
05538034,06,2024,005210,2,10000.0000,
05538034,04,2024,005400,2,1416.6667,
05538034,05,2024,005400,2,1416.6667,
05538034,06,2024,005400,2,1416.6667,
05538034,04,2024,005410,2,1416.6667,
05538034,05,2024,005410,2,1416.6667,
05538034,06,2024,005410,2,1416.6667,
05538034,04,2024,005500,2,1333.3333,
05538034,05,2024,005500,2,1333.3333,
05538034,06,2024,005500,2,1333.3333,
05538034,04,2024,005510,2,9666.6667,
05538034,05,2024,005510,2,9666.6667,
05538034,06,2024,005510,2,9666.6667,
05538034,04,2024,005520,2,93.0000,
05538034,05,2024,005520,2,93.0000,
05538034,06,2024,005520,2,93.0000,
05538034,04,2024,800932,2,2000.0000,
05538034,05,2024,800932,2,2000.0000,
05538034,06,2024,800932,2,2000.0000,
05538034,04,2024,800940,2,1819.9386,T
05538034,05,2024,800940,2,1819.9386,T
05538034,06,2024,800940,2,1819.9386,T
05538034,04,2024,900000,2,30719.0020,T
05538034,05,2024,900000,2,30719.0020,T
05538034,06,2024,900000,2,30719.0020,T
05538034,04,2024,980000,2,30719.0020,T
05538034,05,2024,980000,2,30719.0020,T
05538034,06,2024,980000,2,30719.0020,T
05538034,04,2024,980010,2,0.3333,
05538034,05,2024,980010,2,0.3333,
05538034,06,2024,980010,2,0.3333,
05538034,04,2024,980020,2,3.1667,
05538034,05,2024,980020,2,3.1667,
