NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
05286294,12,2023,900180,2,,2,375
05286294,12,2023,900180,2,,3,375
05286294,12,2023,900180,2,,4,375
05286294,12,2023,900180,2,,5,375
05286294,12,2023,980000,2,,1,20541.6667
05286294,12,2023,980000,2,,2,20541.6667
05286294,12,2023,980000,2,,3,20541.6667
05286294,12,2023,980000,2,,4,20541.6667
05286294,12,2023,980000,2,,5,20541.6667
05286294,12,2023,980071,2,,1,16394.833333
05286294,12,2023,980071,2,,2,16394.833333
05286294,12,2023,980071,2,,3,16394.833333
05286294,12,2023,980071,2,,4,16394.833333
05286294,12,2023,980071,2,,5,16394.833333
05286304,10,2023,900030,2,,1,4130.6667
05286304,10,2023,900030,2,,2,3671.6667
05286304,10,2023,900030,2,,3,5292.6667
05286304,10,2023,900030,2,,4,4820.6667
05286304,10,2023,900030,2,,5,4732.6667
05286304,10,2023,900170,2,,1,301.3333
05286304,10,2023,900170,2,,2,265.3333
05286304,10,2023,900170,2,,3,254.5
05286304,10,2023,900170,2,,4,268.8333
05286304,10,2023,900170,2,,5,307.25
05286304,10,2023,980000,2,,1,4432
05286304,10,2023,980000,2,,2,3937
05286304,10,2023,980000,2,,3,5547.1667
05286304,10,2023,980000,2,,4,5089.5
05286304,10,2023,980000,2,,5,5039.9167
05286304,10,2023,980071,2,,1,4432
05286304,10,2023,980071,2,,2,3937
05286304,10,2023,980071,2,,3,5547.1666667
05286304,10,2023,980071,2,,4,5089.5
05286304,10,2023,980071,2,,5,5039.9166667
05286304,11,2023,900030,2,,1,4130.6667
05286304,11,2023,900030,2,,2,3671.6667
05286304,11,2023,900030,2,,3,5292.6667
05286304,11,2023,900030,2,,4,4820.6667
05286304,11,2023,900030,2,,5,4732.6667
05286304,11,2023,900170,2,,1,301.3333
05286304,11,2023,900170,2,,2,265.3333
05286304,11,2023,900170,2,,3,254.5
05286304,11,2023,900170,2,,4,268.8333
05286304,11,2023,900170,2,,5,307.25
05286304,11,2023,980000,2,,1,4432
05286304,11,2023,980000,2,,2,3937
05286304,11,2023,980000,2,,3,5547.1667
05286304,11,2023,980000,2,,4,5089.5
05286304,11,2023,980000,2,,5,5039.9167
05286304,11,2023,980071,2,,1,4432
05286304,11,2023,980071,2,,2,3937
05286304,11,2023,980071,2,,3,5547.1666667
05286304,11,2023,980071,2,,4,5089.5
05286304,11,2023,980071,2,,5,5039.9166667
05286304,12,2023,900030,2,,1,4130.6667
05286304,12,2023,900030,2,,2,3671.6667
