NEWID,SEQNO,ALCNO,EXPNAME,COST_,REF_MO,REF_YR,RTYPE,GIFT,UCCSEQ,UCC,COST,PUBFLAG
05654554,13,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,600,2
05654554,13,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,600,2
05654554,13,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,600,2
05654624,16,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1456,2
05654624,16,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1456,2
05654624,16,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1456,2
05654634,14,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,650,2
05654634,14,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,650,2
05654634,14,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,650,2
05654644,29,0,QRT3MCMX,T,12,2024,RNT,2,1,210110,4548.6666667,2
05654644,29,0,QRT3MCMX,T,11,2024,RNT,2,1,210110,4548.6666667,2
05654644,29,0,QRT3MCMX,T,10,2024,RNT,2,1,210110,4548.6666667,2
05654724,28,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1385,2
05654724,28,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1385,2
05654724,28,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1385,2
05654814,30,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1904.6666667,2
05654814,30,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1904.6666667,2
05654814,30,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1904.6666667,2
05654914,10,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1570,2
05654914,10,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1570,2
05654914,10,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1570,2
05654954,10,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1500,2
05654954,10,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1500,2
05654954,10,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1500,2
05654974,20,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1100,2
05654974,20,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1100,2
05654974,20,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1100,2
05655124,11,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,550,2
05655124,11,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,550,2
05655124,11,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,550,2
05655164,27,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,675,2
05655164,27,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,675,2
05655164,27,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,675,2
05655464,24,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,725,2
05655464,24,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,725,2
05655464,24,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,725,2
05655774,9,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1265,2
05655774,9,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1265,2
05655774,9,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1265,2
05656054,22,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1305,2
05656054,22,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1305,2
05656054,22,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1305,2
05656244,21,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1150,2
05656244,21,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1150,2
05656244,21,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1150,2
05656384,22,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1420,2
05656384,22,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1420,2
05656384,22,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1420,2
05656714,13,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,2000,2
05656714,13,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,2000,2
05656714,13,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,2000,2
05656814,12,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,260,2
05656814,12,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,260,2
05656814,12,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,260,2
05656874,9,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1350,2
05656874,9,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1350,2
05656874,9,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1350,2
05657154,14,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,457,2
05657154,14,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,457,2
05657154,14,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,457,2
05657214,21,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1576,2
05657214,21,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1576,2
05657214,21,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1576,2
05657244,9,0,QRT3MCMX,T,12,2024,RNT,2,1,210110,4548.6666667,2
05657244,9,0,QRT3MCMX,T,11,2024,RNT,2,1,210110,4548.6666667,2
05657244,9,0,QRT3MCMX,T,10,2024,RNT,2,1,210110,4548.6666667,2
05657444,18,0,JRTPAYQV,D,12,2024,RNT,2,1,800710,1000,2
05657444,18,0,JRTPAYQV,D,11,2024,RNT,2,1,800710,1000,2
05657444,18,0,JRTPAYQV,D,10,2024,RNT,2,1,800710,1000,2
05657474,12,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1100,2
05657474,12,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1100,2
05657474,12,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1100,2
05657754,15,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1020,2
05657754,15,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1020,2
05657754,15,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1020,2
05657764,8,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,233,2
05657764,8,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,233,2
05657764,8,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,233,2
05657924,15,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1375,2
05657924,15,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1375,2
05657924,15,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1375,2
05658074,8,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,487,2
05658074,8,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,487,2
05658074,8,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,487,2
05658084,39,0,QRT3MCMX,T,12,2024,RNT,2,1,210110,4548.6666667,2
05658084,39,0,QRT3MCMX,T,11,2024,RNT,2,1,210110,4548.6666667,2
05658084,39,0,QRT3MCMX,T,10,2024,RNT,2,1,210110,4548.6666667,2
05658494,36,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1600,2
05658494,36,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1600,2
05658494,36,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1600,2
05658634,10,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1500,2
05658634,10,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1500,2
05658634,10,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1500,2
05658744,19,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,950,2
05658744,19,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,950,2
05658744,19,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,950,2
05658794,11,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1500,2
05658794,11,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1500,2
05658794,11,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1500,2
05658854,15,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,720,2
05658854,15,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,720,2
05658854,15,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,720,2
05658914,14,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,251.66666667,2
05658914,14,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,251.66666667,2
05658914,14,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,251.66666667,2
05658994,13,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,600,2
05658994,13,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,600,2
05658994,13,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,600,2
05659004,27,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,942,2
05659004,27,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,942,2
05659004,27,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,942,2
05659204,36,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1890,2
05659204,36,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1890,2
05659204,36,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1890,2
05659314,28,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1600,2
05659314,28,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1600,2
05659314,28,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1600,2
05659534,25,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1825,2
05659534,25,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1825,2
05659534,25,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1825,2
05659564,11,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1450,2
05659564,11,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1450,2
05659564,11,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1450,2
05659634,16,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,3200,2
05659634,16,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,3200,2
05659634,16,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,3200,2
05659674,23,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,25,2
05659674,23,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,25,2
05659674,23,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,25,2
05659684,16,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,500,2
05659684,16,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,500,2
05659684,16,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,500,2
05659884,9,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1260,2
05659884,9,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1260,2
05659884,9,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1260,2
05660014,10,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,866.66666667,2
05660014,10,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,866.66666667,2
05660014,10,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,866.66666667,2
05660014,11,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1735,2
05660014,11,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1735,2
05660014,11,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1735,2
05660144,8,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,910,2
05660144,8,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,910,2
05660144,8,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,910,2
05660364,39,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,2500,2
05660364,39,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,2500,2
05660364,39,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,2500,2
05660414,12,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,2300,2
05660414,12,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,2300,2
05660414,12,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,2300,2
05660414,13,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,2300,2
05660414,13,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,2300,2
05660414,13,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,2300,2
05660634,24,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1645,2
05660634,24,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1645,2
05660634,24,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1645,2
05660654,9,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,344,2
05660654,9,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,344,2
05660654,9,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,344,2
05660684,36,0,JRTPAYQV,D,12,2024,RNT,2,1,800710,400,2
05660684,36,0,JRTPAYQV,D,11,2024,RNT,2,1,800710,400,2
05660684,36,0,JRTPAYQV,D,10,2024,RNT,2,1,800710,400,2
05660684,36,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1800,2
05660684,36,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1800,2
05660684,36,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1800,2
05660834,34,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,2000,2
05660834,34,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,2000,2
05660834,34,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,2000,2
05660854,20,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,2000,2
05660854,20,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,2000,2
05660854,20,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,2000,2
05660894,6,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,177,2
05660894,6,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,177,2
05660894,6,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,177,2
05660924,10,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,900,2
05660924,10,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,900,2
05660924,10,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,900,2
05660944,13,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,600,2
05660944,13,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,600,2
05660944,13,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,600,2
05660994,21,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,850,2
05660994,21,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,850,2
05660994,21,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,850,2
05661054,17,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1445,2
05661054,17,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1445,2
05661054,17,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1445,2
05661064,27,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,600,2
05661064,27,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,600,2
05661064,27,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,600,2
05661234,32,0,QRT3MCMX,T,12,2024,RNT,2,1,210110,4548.6666667,2
05661234,32,0,QRT3MCMX,T,11,2024,RNT,2,1,210110,4548.6666667,2
05661234,32,0,QRT3MCMX,T,10,2024,RNT,2,1,210110,4548.6666667,2
05661234,33,0,QRT3MCMX,T,12,2024,RNT,2,1,210110,4548.6666667,2
05661234,33,0,QRT3MCMX,T,11,2024,RNT,2,1,210110,4548.6666667,2
05661234,33,0,QRT3MCMX,T,10,2024,RNT,2,1,210110,4548.6666667,2
05661544,10,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,142,2
05661544,10,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,142,2
05661544,10,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,142,2
05661964,10,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,372,2
05661964,10,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,372,2
05661964,10,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,372,2
05662074,14,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,2500,2
05662074,14,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,2500,2
05662074,14,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,2500,2
05662084,18,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1300,2
05662084,18,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,1300,2
05662084,18,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,1300,2
05662124,24,0,QRT3MCMX,F,12,2024,RNT,2,1,210110,2555,2
05662124,24,0,QRT3MCMX,F,11,2024,RNT,2,1,210110,2555,2
05662124,24,0,QRT3MCMX,F,10,2024,RNT,2,1,210110,2555,2
05662134,8,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,660,2
05662134,8,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,660,2
05662134,8,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,660,2
05662364,15,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,900,2
05662364,15,0,QRT3MCMX,D,11,2024,RNT,2,1,210110,900,2
05662364,15,0,QRT3MCMX,D,10,2024,RNT,2,1,210110,900,2
05662424,19,0,QRT3MCMX,D,12,2024,RNT,2,1,210110,1730,2
