NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_,IMPNUM
05411714,01,2024,800940,2,527.7500,,1
05411714,01,2024,800940,2,651.2500,,2
05411714,01,2024,800940,2,568.8333,,3
05411714,01,2024,800940,2,810.8333,,4
05411714,01,2024,800940,2,657.5833,,5
05411714,02,2024,800940,2,527.7500,,1
05411714,02,2024,800940,2,651.2500,,2
05411714,02,2024,800940,2,568.8333,,3
05411714,02,2024,800940,2,810.8333,,4
05411714,02,2024,800940,2,657.5833,,5
05411714,03,2024,800940,2,527.7500,,1
05411714,03,2024,800940,2,651.2500,,2
05411714,03,2024,800940,2,568.8333,,3
05411714,03,2024,800940,2,810.8333,,4
05411714,03,2024,800940,2,657.5833,,5
05411714,01,2024,900000,2,6898.9167,,1
05411714,01,2024,900000,2,8512.5833,,2
05411714,01,2024,900000,2,7435.4167,,3
05411714,01,2024,900000,2,10599.6667,,4
05411714,01,2024,900000,2,8596.3333,,5
05411714,02,2024,900000,2,6898.9167,,1
05411714,02,2024,900000,2,8512.5833,,2
05411714,02,2024,900000,2,7435.4167,,3
05411714,02,2024,900000,2,10599.6667,,4
05411714,02,2024,900000,2,8596.3333,,5
05411714,03,2024,900000,2,6898.9167,,1
05411714,03,2024,900000,2,8512.5833,,2
05411714,03,2024,900000,2,7435.4167,,3
05411714,03,2024,900000,2,10599.6667,,4
05411714,03,2024,900000,2,8596.3333,,5
05411714,01,2024,980000,2,6898.9167,,1
05411714,01,2024,980000,2,8512.5833,,2
05411714,01,2024,980000,2,7435.4167,,3
05411714,01,2024,980000,2,10599.6667,,4
05411714,01,2024,980000,2,8596.3333,,5
05411714,02,2024,980000,2,6898.9167,,1
05411714,02,2024,980000,2,8512.5833,,2
05411714,02,2024,980000,2,7435.4167,,3
05411714,02,2024,980000,2,10599.6667,,4
05411714,02,2024,980000,2,8596.3333,,5
05411714,03,2024,980000,2,6898.9167,,1
05411714,03,2024,980000,2,8512.5833,,2
05411714,03,2024,980000,2,7435.4167,,3
