NEWID,SEQNO,ALCNO,HSVCODE,HSVCODE_,HSVCD1,HSVCD1_,HSVCD2,HSVCD2_,HSVCD3,HSVCD3_,HSVCD4,HSVCD4_,HSVCD5,HSVCD5_,HSVCD6,HSVCD6_,HSVCD7,HSVCD7_,HSVCD8,HSVCD8_,HSVCD9,HSVCD9_,HSVMO,HSVMO_,HSVGFTC,HSVGFTC_,HSVEXPX,HSVEXPX_,QYEAR
05835472,11,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20251
05835562,11,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,700,D,20251
05835632,8,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,60,D,20251
05835842,11,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,40,D,20251
05835852,10,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,150,D,20251
05835872,14,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,69,D,20251
05835872,15,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,1,D,200,D,20251
05835892,7,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,32,D,20251
05835892,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,180,D,20251
05835892,9,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,27,D,20251
05835982,7,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,1,D,150,D,20251
05836072,12,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,57,F,20251
05836072,13,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,270,D,20251
05836142,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,180,D,20251
05836212,14,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,18,D,20251
05836282,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,60,D,20251
05836282,11,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20251
05836282,12,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,1,D,50,D,20251
05836372,16,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20251
05836592,14,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,37,D,20251
05836592,15,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,105,D,20251
05836622,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,50,D,20251
05836712,13,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,1,D,50,D,20251
05836852,7,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,122,D,20251
05836852,8,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,74,D,20251
05836952,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,200,D,20251
05836982,17,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,400,D,20251
05837042,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,55,D,20251
05837042,14,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,55,D,20251
05837042,15,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,1,D,100,D,20251
05837042,16,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,250,D,20251
05837042,17,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,30,D,20251
05837112,8,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,200,D,20251
05837262,15,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,24,D,20251
05837262,16,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,80,D,20251
05837262,17,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,1,D,99,D,20251
05837322,8,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,20,D,20251
05837452,7,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,35,D,20251
05837672,16,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20251
05837672,17,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,86,D,20251
05837672,18,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,85,D,20251
05837712,16,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,50,D,20251
05837832,11,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,100,D,20251
05837892,23,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,240,D,20251
05837902,5,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,75,D,20251
05837942,9,0,900,D,270,D,280,D,,A,,A,,A,,A,,A,,A,,A,10,D,,A,,H,20251
05837942,9,1,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,10,E,20251
05837942,10,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,10,D,20251
05838062,18,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,138,D,20251
05838112,17,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,1,D,350,D,20251
05838242,16,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,35,D,20251
05838502,12,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,8,D,20251
05838622,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,50,D,20251
05838622,11,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,70,D,20251
05838712,12,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,135,D,20251
05838712,13,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,580,D,20251
05838712,14,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,115,D,20251
05838872,24,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20251
