NEWID,SEQNO,ALCNO,HSVCODE,HSVCODE_,HSVCD1,HSVCD1_,HSVCD2,HSVCD2_,HSVCD3,HSVCD3_,HSVCD4,HSVCD4_,HSVCD5,HSVCD5_,HSVCD6,HSVCD6_,HSVCD7,HSVCD7_,HSVCD8,HSVCD8_,HSVCD9,HSVCD9_,HSVMO,HSVMO_,HSVGFTC,HSVGFTC_,HSVEXPX,HSVEXPX_,QYEAR
05411884,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,288,D,20242
05411904,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,45,D,20242
05411904,16,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,130,D,20242
05411904,17,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,40,D,20242
05411914,14,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05411914,15,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,25,D,20242
05411914,16,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,110,D,20242
05411974,8,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,240,D,20242
05411974,9,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,50,D,20242
05411994,16,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,10,D,20242
05412084,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,50,D,20242
05412134,11,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,300,D,20242
05412214,23,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,102,D,20242
05412214,24,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,102,D,20242
05412244,16,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,1100,D,20242
05412274,6,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,40,D,20242
05412344,8,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,35,D,20242
05412344,9,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,35,D,20242
05412424,15,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,500,D,20242
05412424,16,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,400,D,20242
05412594,12,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,350,D,20242
05412604,17,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,345,D,20242
05412614,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,60,D,20242
05412614,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05412614,11,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,125,D,20242
05412684,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,200,D,20242
05412774,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,80,D,20242
05412934,8,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,50,D,20242
05413244,18,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,45,D,20242
05413244,19,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,90,D,20242
05413284,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,159,D,20242
05413374,7,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05413664,7,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,38,D,20242
05413664,8,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,38,D,20242
05413764,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,15,D,20242
05413824,12,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,300,D,20242
05413824,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,75,D,20242
05413834,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,80,D,20242
05413834,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,20,D,20242
05413834,11,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,30,D,20242
05413904,6,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,275,D,20242
05414274,14,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,260,D,20242
05414274,15,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,69,D,20242
05414274,27,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,F,1,D,62,D,20242
05414314,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20242
05414314,11,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05414334,11,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,450,D,20242
05414494,7,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,30,D,20242
05414724,10,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,58,D,20242
05414894,5,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,2000,D,20242
05414894,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,250,D,20242
05414894,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,160,D,20242
05414924,13,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,20,D,20242
05414944,6,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05414994,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,68,D,20242
05415194,6,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,100,D,20242
05415364,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,95,D,20242
05415484,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,39,D,20242
05415514,12,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,125,D,20242
05415514,13,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,69,D,20242
05415634,7,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,10,D,20242
05415684,7,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,75,D,20242
05415684,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,42,D,20242
05415754,6,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,6,D,20242
05415954,17,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,152,D,20242
05416114,19,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,2,D,90,D,20242
05416224,18,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,120,D,20242
05416334,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05416334,9,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,250,D,20242
05416354,10,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,60,D,20242
05416354,11,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,60,D,20242
05416354,12,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,60,D,20242
05416394,16,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,15,D,20242
05416444,17,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,50,D,20242
05416504,17,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,200,D,20242
05416514,6,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,2,D,300,D,20242
05416544,16,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,30,D,20242
05416544,17,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,28,D,20242
05416654,13,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,400,D,20242
05416694,26,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,434,D,20242
05416694,27,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,750,D,20242
05416694,28,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,2000,D,20242
05416694,29,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,1500,D,20242
05416774,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,139,D,20242
05416774,11,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,100,D,20242
05416814,12,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,414,D,20242
05416904,7,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,286,D,20242
05416904,8,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,390,D,20242
05417134,7,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,53,D,20242
05417134,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,140,D,20242
05417134,9,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,140,D,20242
05417454,18,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20242
05417604,18,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,400,D,20242
05417604,19,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,90,D,20242
05417624,16,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,104,D,20242
05417664,20,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,130,D,20242
05417664,21,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,260,D,20242
05417694,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,4,D,20242
05417694,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,80,D,20242
05417734,12,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,35,D,20242
05417734,13,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,35,D,20242
05417734,14,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,40,D,20242
05417734,15,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,40,D,20242
05417734,16,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,40,D,20242
05417734,17,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,50,D,20242
05417744,17,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,57,D,20242
05417744,18,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,57,D,20242
05417744,24,0,900,D,200,D,100,D,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,,H,20242
05417744,24,1,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,11,E,20242
05417744,24,2,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,9,E,20242
05417774,11,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05417854,31,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,100,D,20242
05417974,11,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,25,D,20242
05417974,12,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,110,D,20242
05418134,9,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,20,D,20242
05418154,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,80,D,20242
05418204,9,0,400,D,100,D,200,D,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,H,20242
05418204,9,1,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,23,E,20242
05418204,9,2,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,10,E,20242
05418274,12,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05418274,13,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,30,D,20242
05418284,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05418284,11,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,35,D,20242
05418284,12,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,50,D,20242
05418284,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,95,D,20242
05418334,7,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,175,D,20242
05418334,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,37,D,20242
05418364,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,99,D,20242
05418364,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,120,D,20242
05418384,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,90,D,20242
05418384,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,893,D,20242
05418454,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,45,D,20242
05418974,11,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,65,D,20242
05418994,12,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,98,D,20242
05419064,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,65,D,20242
05419064,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,67,D,20242
05419064,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,697,D,20242
05419194,15,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,900,D,20242
05419254,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,195,D,20242
05419394,9,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,115,D,20242
05419694,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,150,D,20242
05419724,6,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,225,D,20242
05419884,9,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,105,D,20242
05420014,7,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,65,D,20242
05420074,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,135,D,20242
05420154,13,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,240,D,20242
05420334,12,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,40,D,20242
05420334,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,110,D,20242
05420424,8,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,50,D,20242
05420744,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,2000,D,20242
05420764,17,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,90,D,20242
05420764,18,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,45,D,20242
05420764,19,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,520,D,20242
05420854,9,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,50,D,20242
05420854,10,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,50,D,20242
05420854,11,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,50,D,20242
05420864,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,260,D,20242
05420864,11,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,394,D,20242
05421104,9,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,105,D,20242
05421134,12,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,62,D,20242
05421134,13,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,18,D,20242
05421294,14,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,85,D,20242
05421324,19,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,136,D,20242
05421324,20,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,75,D,20242
05421494,12,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,90,D,20242
05421504,14,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,500,D,20242
05421504,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,75,D,20242
05421504,16,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,80,D,20242
05421684,12,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,300,D,20242
05421714,7,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,50,D,20242
05421714,8,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,50,D,20242
05421714,9,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,50,D,20242
05421734,14,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,196,D,20242
05421774,18,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,250,D,20242
05421814,12,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,65,D,20242
05421864,10,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05422244,11,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,160,D,20242
05422324,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,75,D,20242
05422434,13,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,200,D,20242
05422434,14,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,200,D,20242
05422434,15,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,210,D,20242
05422434,16,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,1555,D,20242
05422504,11,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,397,D,20242
05422644,9,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05422644,10,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,250,D,20242
05422644,11,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,200,D,20242
05422674,9,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,350,D,20242
05422804,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,45,D,20242
05422804,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,35,D,20242
05422814,8,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05422844,26,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,135,D,20242
05422874,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,33,D,20242
05422944,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,48,D,20242
05422944,11,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,32,D,20242
05422984,14,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,61,D,20242
05423014,19,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,53,D,20242
05423064,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,75,D,20242
05423064,16,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05423074,24,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,240,D,20242
05423074,25,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,1,D,194,D,20242
05423074,26,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,58,D,20242
05423124,11,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,525,D,20242
05423354,10,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,62,D,20242
05423414,14,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,300,D,20242
05423614,12,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,160,D,20242
05423624,14,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,40,D,20242
05423624,15,0,400,D,100,D,200,D,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,H,20242
05423624,15,1,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,29,E,20242
05423624,15,2,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,11,E,20242
05423634,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,130,D,20242
05423634,11,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,240,D,20242
05423634,12,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05423714,9,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,96,D,20242
05423914,27,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,12,D,20242
05423954,9,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,50,D,20242
05423954,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,250,D,20242
05423954,11,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,250,D,20242
05424004,14,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20242
05424004,15,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,70,D,20242
05424004,16,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,200,D,20242
05424034,24,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,,A,140,D,20242
05424034,25,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,,A,310,D,20242
05424034,26,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,60,D,20242
05424034,27,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,1,D,180,D,20242
05424034,28,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,1,D,25,D,20242
05424034,29,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,500,D,20242
05424034,30,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,250,D,20242
05424304,7,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,108,D,20242
05424324,23,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,1300,D,20242
05424354,7,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,26,D,20242
05424354,8,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,26,D,20242
05424354,9,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,,A,26,D,20242
05424354,10,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,,A,26,D,20242
05424404,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,150,D,20242
05424834,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,10,D,20242
05424854,24,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,,A,150,D,20242
05424854,25,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,19,D,20242
05424854,26,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,240,D,20242
05425174,13,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,27,D,20242
05425254,12,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,1,D,200,D,20242
05425254,13,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,250,D,20242
05425404,15,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,150,D,20242
05425404,16,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,1,D,150,D,20242
05425504,18,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,16,D,20242
05425504,19,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,85,D,20242
05425574,24,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,130,D,20242
05425704,17,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,119,D,20242
05425754,8,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,150,D,20242
05425844,8,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,16,D,20242
05426004,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,600,D,20242
05426004,11,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,150,D,20242
05426004,12,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,520,D,20242
05426094,11,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,25,D,20242
05426114,13,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,320,D,20242
05426234,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,1,D,50,D,20242
05426234,9,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,100,D,20242
05426254,23,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,,A,187,D,20242
