ALCNO,CHIP,CHIPCOV,CHIPCOV_,CHIPPRMX,CHIP_,CHIP_RMX,CHXCHNG,CHXCHNG_,IHS,IHSCOV,IHSCOV_,IHS_,JCHIPQVX,JCHI_QVX,JMDCDQVX,JMDC_QVX,MDCDCOV,MDCDCOV_,MDCDPRMX,MDCD_RMX,MEDICAID,MEDI_AID,MEDPREM,MEDPREM_,MILITARY,MILI_ARY,MILMAN,MILMAN_,MILOTCOV,MILOTHR,MILOTHR_,MILOTSTL,MILO_COV,MILO_STL,MILSPC1,MILSPC1_,MILSPC2,MILSPC2_,MILSPC3,MILSPC3_,MILSPC4,MILSPC4_,MILVACOV,MILVASTL,MILV_COV,MILV_STL,MXCHNG,MXCHNG_,NEWID,QTRIRPMX,QTRI_PMX,RECTYPE,REC_ORIG,REC_STAT,SEQNO,STRFPRM1,STRF_RM1,TRIANYPD,TRIA_YPD,TRICRSTL,TRIC_STL,TRIIRGXB,TRII_GXB,TRILSTTM,TRIL_TTM,TRIRPMPD,TRIRPMXB,TRIR_MPD,TRIR_MXB,QYEAR,TRICOV,TRICOV_
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05566382,,A,HHM,5,1,8,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05566392,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05566552,,A,HHM,5,1,9,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,3,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05566562,,A,HHM,5,1,7,,A,,A,1,D,,A,,A,,,A,A,20241,1,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05566912,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05566922,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,6,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05567262,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,1,3,D,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05567282,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05567452,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05567512,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,,D,A,,A,05567852,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05568082,,A,HHM,1,1,8,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05568172,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
