QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20241,05287524,21,0,5,01,D,100,D,,A,3,D,04,D,2022,D,,A,,A,,A,6500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287554,19,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287574,12,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,5000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287614,15,0,5,01,D,100,D,,A,3,D,,B,1991,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287714,26,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,5600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287754,8,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,890,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287774,22,0,5,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,11000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287804,18,0,5,01,D,100,D,,A,3,D,07,D,2022,D,,A,,A,,A,3600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287834,23,0,5,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,6100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287894,22,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,3400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287994,16,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,1600,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288104,17,0,5,01,D,100,D,,A,3,D,,B,1964,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288114,12,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288124,22,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288124,23,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288124,24,0,5,03,D,400,D,,A,3,D,,B,2016,D,,A,,A,,A,260,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05288184,20,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288214,25,0,5,01,D,100,D,,A,3,D,,B,1979,D,,A,,A,,A,3800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288254,10,0,5,01,D,100,D,,A,3,D,,B,2021,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288324,15,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,1700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288354,32,0,5,01,D,100,D,,A,3,D,,B,1981,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288494,20,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288544,25,0,5,01,D,100,D,,A,3,D,,B,2021,D,,A,,A,,A,5500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288564,6,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288604,15,0,5,01,D,100,D,,A,3,D,,B,1960,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288694,17,0,5,01,D,100,D,,A,3,D,,B,2021,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288704,34,0,5,01,D,400,D,,A,3,D,,B,2016,D,,A,,A,,A,2400,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20241,05288704,35,0,5,02,D,400,D,,A,3,D,,B,2016,D,,A,,A,,A,870,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20241,05288704,36,0,5,03,D,400,D,,A,3,D,,B,2016,D,,A,,A,,A,460,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20241,05288704,37,0,5,04,D,400,D,,A,3,D,,B,2016,D,,A,,A,,A,1000,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20241,05288704,38,0,5,05,D,400,D,,A,3,D,,B,2018,D,,A,,A,,A,0,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20241,05288704,39,0,5,06,D,400,D,,A,3,D,,B,2005,D,,A,,A,,A,2200,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20241,05288714,17,0,5,01,D,100,D,,A,3,D,,B,1978,D,,A,,A,,A,3100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288854,14,0,5,01,D,100,D,,A,3,D,,B,1977,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288884,32,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,5600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288894,16,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05288954,32,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,4600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289004,11,0,5,01,D,100,D,,A,1,D,,B,2002,D,,A,,A,,A,6700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289024,18,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,2100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289044,29,0,5,01,D,100,D,0.25,D,3,D,,B,2012,D,,A,,A,,A,4300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289044,30,0,5,02,D,300,D,,A,1,D,,B,1990,D,,A,,A,,A,2600,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05289064,22,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289074,12,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,9200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289114,21,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289124,24,0,5,01,D,100,D,,A,3,D,,B,2021,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289154,18,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,3600,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05289204,16,0,5,01,D,100,D,,A,3,D,01,D,2023,D,271000,D,5300,D,12000,D,4000,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20241,05289224,9,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,1200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289334,14,0,5,01,D,100,D,,A,1,D,,C,2022,D,,A,,A,,A,810,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289444,19,0,5,01,D,100,D,,A,3,D,,B,1988,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289474,18,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289494,37,0,5,01,D,100,D,,A,3,D,,B,2021,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289564,14,0,5,01,D,100,D,,A,1,D,,B,2020,D,,A,,A,,A,5000,F,,A,,A,,A,,A,2,D,,A,,A,1,D,,A
20241,05289564,15,0,5,02,D,300,D,,A,3,D,,B,2015,D,,A,,A,,A,6900,F,2,D,,A,,A,,A,1,D,0,D,,A,,A,,A
20241,05289574,19,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,3900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289694,15,0,5,01,D,100,D,0.20,D,1,D,,B,2003,D,,A,,A,,A,5200,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05289734,10,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,2400,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289864,22,0,5,01,D,100,D,,A,3,D,,B,1998,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05289904,20,0,5,01,D,100,D,,A,3,D,08,D,2022,D,,A,,A,,A,2400,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290044,21,0,5,01,D,100,D,,A,3,D,,B,1982,D,,A,,A,,A,7000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290094,18,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,20889,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290104,9,0,5,01,D,100,D,,A,3,D,03,D,2023,D,,C,,C,,C,2300,F,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
