QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_,PAYESCRW,PAYE_CRW,MORTSPEC,MORT_PEC,FEEAMTX,FEEAMTX_
20243,05596303,23,0,5,01,D,100,D,.0296,D,230000,D,30,D,1500,D,,A,,A,,A,,A,535,D,437,D,438,D,439,D,528,D,527,D,526,D,,A,03,D,2021,D,1,D,,A,214178,D,213742,D,213304,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05596353,15,0,5,01,D,100,D,.0296,D,390000,D,30,D,2247,D,,A,,A,,A,,A,611,D,731,D,733,D,735,D,905,D,903,D,901,D,,A,08,D,2021,D,1,D,,A,366857,D,366126,D,365393,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05596543,31,0,5,01,D,100,D,.0425,D,200000,D,30,D,2750,D,,A,,A,,A,,A,1766,D,304,D,305,D,307,D,680,D,679,D,677,D,,A,01,D,2022,D,1,D,,A,191901,D,191596,D,191291,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05597213,44,0,5,01,D,100,D,.0296,D,500000,D,30,D,2300,D,,A,,A,,A,,A,203,D,948,D,951,D,953,D,1034,D,1031,D,1030,D,,A,04,D,2021,D,1,D,,A,465638,D,464689,D,463739,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05597463,12,0,1,01,D,100,D,.0296,D,168000,D,30,D,1300,D,,A,,A,,A,,A,595,D,314,D,315,D,316,D,391,D,390,D,389,D,,A,10,D,2021,D,1,D,,A,158336,D,158022,D,157707,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,2,D,,A
20243,05597553,21,0,5,01,D,100,D,.0385,D,206000,D,15,D,2600,D,,A,,A,,A,,A,1092,D,1186,D,1190,D,1193,D,322,D,318,D,315,D,,A,09,D,2015,D,1,D,,A,100440,D,99254,D,98065,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05597683,54,0,5,01,D,100,D,.0311,D,310000,D,30,D,2461,D,,A,,A,,A,,A,1136,D,584,D,586,D,588,D,741,D,739,D,737,D,,A,10,D,2020,D,1,D,,A,285724,D,285139,D,284553,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,2,D,,A
20243,05597773,22,0,5,01,D,100,D,.0454,D,105000,D,30,D,783,D,,A,,A,,A,,A,248,D,184,D,185,D,186,D,351,D,350,D,349,D,,A,01,D,2018,D,1,D,,A,92713,D,92529,D,92344,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05597793,49,0,5,01,D,100,D,.0296,D,240000,D,30,D,1575,D,,A,,A,,A,,A,568,D,452,D,453,D,455,D,555,D,554,D,552,D,,A,07,D,2021,D,1,D,,A,224849,D,224397,D,223943,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05597973,29,0,5,01,D,100,D,.0510,D,354000,D,30,D,2788,D,,A,,A,,A,,A,866,D,466,D,468,D,470,D,1456,D,1454,D,1452,D,,A,04,D,2022,D,1,D,,A,342548,D,342082,D,341614,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05598103,35,0,5,01,D,100,D,.0311,D,355000,D,30,D,2100,D,,A,,A,,A,,A,582,D,670,D,672,D,674,D,848,D,846,D,844,D,,A,10,D,2020,D,1,D,,A,327169,D,326499,D,325827,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05598123,20,0,5,01,D,100,D,.0534,D,63000,D,30,D,627,D,,A,,A,,A,,A,276,D,80,D,80,D,81,D,271,D,271,D,270,D,,A,02,D,2022,D,1,D,,A,60898,D,60818,D,60738,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05598253,23,0,5,01,D,100,D,.0296,D,350000,D,30,D,2100,D,,A,,A,,A,,A,632,D,656,D,657,D,659,D,812,D,811,D,809,D,,A,09,D,2021,D,1,D,,A,329238,D,328582,D,327925,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,B,,A,,A
20243,05598303,30,0,5,01,D,100,D,.0650,D,245000,D,30,D,2200,D,,A,,A,,A,,A,651,D,233,D,234,D,236,D,1316,D,1315,D,1313,D,,A,09,D,2023,D,1,D,,A,242959,D,242726,D,242492,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05598643,17,0,5,01,D,100,D,.0510,D,525000,D,30,D,4100,D,,A,,A,,A,,A,1250,D,679,D,682,D,685,D,2171,D,2168,D,2165,D,,A,08,D,2022,D,1,D,,A,510762,D,510083,D,509401,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05598683,23,0,5,01,D,100,D,.0400,D,180000,D,15,D,1680,D,,A,,A,,A,,A,349,D,789,D,792,D,794,D,542,D,539,D,537,D,,A,07,D,2022,D,1,D,,A,162556,D,161767,D,160975,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05598933,13,0,1,01,D,100,D,.0600,D,232810,D,25,D,1500,D,,A,,A,,A,,A,0,D,,A,336,D,338,D,,A,1164,D,1162,D,,A,07,D,2024,D,1,D,,A,,A,232810,D,232474,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,2,D,,A
20243,05599023,24,0,5,01,D,100,D,.0397,F,130000,F,30,F,1000,F,,A,,A,,A,,A,382,F,225,F,226,F,227,F,393,F,392,F,391,F,,A,10,F,2019,F,1,F,,A,118685,F,118460,F,118234,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,F,,C,,A
20243,05599053,25,0,5,01,D,100,D,.0385,F,362622,F,30,F,1984,F,,A,,A,,A,,A,284,F,751,F,754,F,756,F,949,F,946,F,944,F,,A,08,F,2015,F,1,F,,A,295755,F,295004,F,294250,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,F,,A,,A
20243,05599333,22,0,5,01,D,100,D,.0296,D,277000,D,15,D,2850,D,,A,,A,,A,,A,942,D,1355,D,1358,D,1362,D,553,D,550,D,546,D,,A,01,D,2021,D,1,D,,A,224227,D,222872,D,221514,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05599793,24,0,5,01,D,100,D,.0587,D,108000,D,30,D,680,D,,A,,A,,A,,A,41,D,342,D,343,D,345,D,297,D,296,D,294,D,,A,03,D,2005,D,1,D,,A,60769,D,60427,D,60084,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,2,D,,A
20243,05599793,25,0,5,01,D,100,D,.0587,D,50000,D,30,D,405,D,,A,,A,,A,,A,109,D,152,D,153,D,153,D,144,D,143,D,143,D,,A,12,D,2005,D,1,D,,A,29457,D,29305,D,29152,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,B,2,D,,A
20243,05599853,26,0,5,01,D,100,D,.0385,D,218640,D,30,D,1025,D,,A,,A,,A,,A,0,D,453,D,454,D,456,D,572,D,571,D,569,D,,A,09,D,2015,D,1,D,,A,178323,D,177870,D,177416,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,A,,A,,A
20243,05599873,13,0,5,01,D,100,D,.0296,D,430000,D,30,D,2400,D,,A,,A,,A,,A,596,D,810,D,812,D,814,D,994,D,992,D,990,D,,A,07,D,2021,D,1,D,,A,402862,D,402052,D,401240,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,2,D,,A
20243,05599883,36,0,5,01,D,100,D,.0365,D,291442,D,15,D,2105,D,,A,,A,,A,,A,0,D,3132,T,3141,T,3165,T,229,D,224,D,218,D,,A,08,D,2012,D,1,D,,A,75433,D,73557,D,71676,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,A,,A,,A
20243,05599883,37,0,5,02,D,300,D,.0311,D,619796,D,30,D,2650,D,,A,,A,,A,,A,0,D,1173,D,1176,D,1179,D,1477,D,1474,D,1471,D,,A,09,D,2020,D,1,D,,A,570050,D,568877,D,567701,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,A,,A,,A
20243,05599923,38,0,5,01,D,100,D,.0400,D,110000,D,30,D,1700,D,,A,,A,,A,,A,1175,D,282,D,283,D,283,D,243,D,242,D,242,D,,A,01,D,2010,D,1,D,,A,73027,D,72745,D,72462,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05599973,33,0,5,01,D,100,D,.0469,D,280000,D,30,D,1856,D,,A,,A,,A,,A,405,D,387,D,389,D,390,D,1064,D,1062,D,1061,D,,A,09,D,2022,D,1,D,,A,272210,D,271823,D,271434,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05599993,22,0,5,01,D,100,D,.0385,D,378193,D,30,D,2875,D,,A,,A,,A,,A,1102,D,793,D,796,D,799,D,980,D,977,D,974,D,,A,05,D,2015,D,1,D,,A,305306,D,304512,D,303716,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05600063,20,0,5,01,D,100,D,.0600,F,500000,F,30,F,3000,F,,A,,A,,A,,A,2,F,518,F,521,F,523,F,2480,F,2477,F,2475,F,,A,08,F,2023,F,1,F,,A,495946,F,495427,F,494906,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,B,2,D,,A
20243,05600233,30,0,1,01,D,300,D,.0534,D,47500,D,15,D,500,D,,A,,A,,A,,A,116,D,189,D,189,D,190,D,195,D,195,D,194,D,,A,10,D,2022,D,1,D,,A,43898,D,43709,D,43519,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,B,2,D,,A
20243,05600393,10,0,5,01,D,100,D,.0420,F,913387,V,30,F,6823,V,,A,,A,,A,,A,0,F,3132,V,3141,V,3165,V,3801,F,3795,F,3788,F,,A,05,F,2021,F,1,F,,A,833430,V,831147,V,832659,V,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20243,05600413,16,0,5,01,D,100,D,.0311,D,250000,D,30,D,3000,D,,A,,A,,A,,A,1931,D,469,D,471,D,472,D,600,D,598,D,597,D,,A,12,D,2020,D,1,D,,A,231342,D,230872,D,230401,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,B,2,D,,A
20243,05600433,26,0,5,01,D,100,D,.0700,D,56000,D,15,D,604,D,,A,,A,,A,,A,101,D,228,D,229,D,230,D,275,D,274,D,273,D,,A,10,D,2020,D,1,D,,A,47184,D,46956,D,46727,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05600443,18,0,5,01,D,100,D,.0296,D,230000,D,30,D,1465,D,,A,,A,,A,,A,500,D,432,D,433,D,435,D,533,D,532,D,530,D,,A,08,D,2021,D,1,D,,A,215914,D,215482,D,215048,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05600453,29,0,5,01,D,100,D,.0450,D,269900,D,30,D,2522,D,,A,,A,,A,,A,1154,D,558,D,560,D,562,D,810,D,808,D,806,D,,A,06,D,2014,D,1,D,,A,216092,D,215535,D,214975,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05600563,42,0,5,01,D,100,D,.0450,D,140000,D,15,D,2000,D,,A,,A,,A,,A,929,D,821,D,824,D,827,D,250,D,247,D,244,D,,A,05,D,2015,D,1,D,,A,66649,D,65828,D,65004,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05600743,30,0,5,01,D,100,D,.0604,D,227528,D,30,D,1370,D,,A,,A,,A,,A,0,D,601,D,604,D,607,D,769,D,766,D,763,D,,A,02,D,2008,D,1,D,,A,152714,D,152112,D,151508,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,A,,A,,A
20243,05600793,15,0,5,01,D,100,D,.0296,D,121000,D,30,D,740,D,,A,,A,,A,,A,232,D,228,D,229,D,230,D,280,D,279,D,278,D,,A,07,D,2021,D,1,D,,A,113350,D,113122,D,112893,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05600803,21,0,5,01,D,100,D,.0446,D,117000,D,30,D,780,D,,A,,A,,A,,A,190,D,276,D,277,D,278,D,314,D,313,D,312,D,,A,07,D,2011,D,1,D,,A,84558,D,84282,D,84006,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05601123,20,0,5,01,D,100,D,.0397,D,121000,D,30,D,1126,D,,A,,A,,A,,A,550,D,217,D,218,D,218,D,359,D,358,D,358,D,,A,02,D,2019,D,1,D,,A,108500,D,108283,D,108065,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05601213,36,0,5,01,D,100,D,.0398,D,265000,D,30,D,1400,D,,A,,A,,A,,A,138,D,591,D,593,D,595,D,671,D,669,D,667,D,,A,07,D,2013,D,1,D,,A,202276,D,201685,D,201092,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,B,,A,,A
20243,05601393,49,0,5,01,D,100,D,.0560,D,190000,D,30,D,1568,D,,A,,A,,A,,A,477,D,226,D,227,D,228,D,865,D,864,D,863,D,,A,08,D,2022,D,1,D,,A,185277,D,185051,D,184824,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,1,D,,A
20243,05601493,17,0,5,01,D,100,D,.0400,D,92000,D,30,D,635,D,,A,,A,,A,,A,196,D,183,D,183,D,184,D,256,D,256,D,255,D,,A,05,D,2016,D,1,D,,A,76875,D,76692,D,76509,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05601603,15,0,5,01,D,100,D,.0425,D,170000,D,30,D,1251,D,,A,,A,,A,,A,415,D,319,D,320,D,322,D,517,D,516,D,514,D,,A,02,D,2017,D,1,D,,A,145896,D,145577,D,145257,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05601743,22,0,5,01,D,100,D,.0311,D,494000,D,30,D,3500,D,,A,,A,,A,,A,1388,D,942,D,944,D,947,D,1170,D,1168,D,1165,D,,A,06,D,2020,D,1,D,,A,451547,D,450605,D,449661,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,2,D,,A
20243,05601823,48,0,5,01,D,100,D,.0440,D,124000,D,30,D,902,D,,A,,A,,A,,A,281,D,267,D,268,D,269,D,354,D,353,D,352,D,,A,09,D,2013,D,1,D,,A,96627,D,96360,D,96093,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05602013,23,0,5,01,D,100,D,.0450,D,149000,D,30,D,1540,D,,A,,A,,A,,A,785,D,347,D,348,D,349,D,408,D,407,D,406,D,,A,10,D,2011,D,1,D,,A,108893,D,108546,D,108198,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05602073,29,0,5,01,D,100,D,.0311,D,260000,D,30,D,1827,D,,A,,A,,A,,A,715,D,491,D,492,D,494,D,621,D,620,D,618,D,,A,10,D,2020,D,1,D,,A,239606,D,239115,D,238623,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05602143,28,0,5,01,D,100,D,.0525,F,416513,F,30,F,2300,F,,A,,A,,A,,A,0,F,1144,F,1149,F,1154,F,1156,F,1151,F,1146,F,,A,09,F,2007,F,1,F,,A,264253,F,263110,F,261961,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20243,05602393,29,0,5,01,D,100,D,.0397,D,130000,D,30,D,1306,D,,A,,A,,A,,A,688,D,228,D,228,D,229,D,390,D,390,D,389,D,,A,08,D,2019,D,1,D,,A,118007,D,117779,D,117551,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05602523,38,0,5,01,D,100,D,.0311,D,150000,D,30,D,934,D,,A,,A,,A,,A,293,D,283,D,284,D,285,D,358,D,357,D,356,D,,A,09,D,2020,D,1,D,,A,137977,D,137693,D,137409,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
20243,05602533,48,0,5,01,D,100,D,.0296,D,98452,D,15,D,678,D,,A,,A,,A,,A,0,D,471,D,472,D,473,D,207,D,206,D,205,D,,A,10,D,2021,D,1,D,,A,83981,D,83511,D,83039,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20243,05602573,21,0,5,01,D,100,D,.0296,D,120000,D,30,D,990,D,,A,,A,,A,,A,487,D,229,D,230,D,230,D,274,D,273,D,273,D,,A,01,D,2021,D,1,D,,A,111081,D,110852,D,110622,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,B,,A,,A
20243,05602673,18,0,5,01,D,100,D,.0475,D,383000,D,30,D,2665,D,,A,,A,,A,,A,667,D,526,D,528,D,530,D,1472,D,1470,D,1468,D,,A,08,D,2022,D,1,D,,A,371944,D,371419,D,370891,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,3,D,,A,,A
20243,05602733,36,0,5,01,D,100,D,.0296,D,300000,D,30,D,2201,D,,A,,A,,A,,A,943,D,573,D,574,D,576,D,685,D,684,D,682,D,,A,01,D,2021,D,1,D,,A,277680,D,277107,D,276532,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,B,,A,,A
20243,05602903,16,0,5,01,D,100,D,.0397,D,40000,D,20,D,618,D,,A,,A,,A,,A,376,D,134,D,134,D,135,D,84,D,84,D,83,D,,A,06,D,2019,D,1,D,,A,32735,D,32601,D,32467,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,3,D,,A,,A
