QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20243,05813321,15,0,1,01,D,100,D,.0690,D,15000,D,15,D,350,D,,A,,A,,A,,A,216,D,59,D,59,D,59,D,75,D,75,D,75,D,,A,05,D,2021,D,1,D,,A,13096,D,13038,D,12978,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20243,05824201,24,0,1,01,D,100,D,.0800,D,50000,D,15,D,478,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,03,D,2024,D,2,D,,A,49564,D,49416,D,49268,D,01,D,1,D,,A,,A,,C,,C,,C,1,D,2,D
20243,05824501,19,0,1,01,D,100,D,.0575,D,105000,D,15,D,872,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,06,D,2022,D,2,D,,A,95643,D,95230,D,94814,D,01,D,,C,,C,,C,795,D,795,D,795,D,1,D,2,D
20243,05827161,18,0,1,01,D,100,D,.0386,F,130000,F,15,F,1300,F,,A,,A,,A,,A,348,F,627,F,629,F,631,F,325,F,323,F,321,F,,A,03,F,2020,F,1,F,,A,101092,F,100466,F,99837,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05575914,24,0,5,01,D,100,D,.0775,D,29216,D,15,D,275,D,,A,,A,,A,,A,0,D,92,D,93,D,93,D,183,D,182,D,182,D,,A,09,D,2023,D,1,D,,A,28327,D,28235,D,28143,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05575994,33,0,5,01,D,100,D,.0440,D,150000,D,15,D,1200,D,,A,,A,,A,,A,60,D,851,D,854,D,857,D,289,D,286,D,283,D,,A,03,D,2016,D,1,D,,A,78886,D,78036,D,77182,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05578864,17,0,5,01,D,100,D,.0550,F,49934,F,15,F,408,F,,A,,A,,A,,A,0,F,239,F,240,F,241,F,169,F,168,F,167,F,,A,05,F,2019,F,1,F,,A,36885,F,36646,F,36406,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05579814,24,0,5,01,D,100,D,.0386,D,74231,D,8,D,900,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,900,D,900,D,900,D,,A,03,D,2020,D,1,D,,A,74231,D,74231,D,74231,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20244,05581224,20,0,5,01,D,100,D,.0800,D,16484,D,10,D,200,D,,A,,A,,A,,A,0,D,97,D,98,D,98,D,103,D,102,D,102,D,,A,08,D,2023,D,1,D,,A,15459,D,15362,D,15265,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05582094,28,0,5,01,D,100,D,.0529,D,90000,D,20,D,608,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,10,D,2018,D,2,D,072024,D,72969,D,72683,D,72394,D,01,D,1,D,,A,,A,810,D,810,D,810,D,1,D,2,D
