QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20241,05287414,33,0,1,520,D,1,D,14,D,11,D,2
20241,05287414,34,0,1,520,D,1,D,14,D,12,D,2
20241,05287414,35,0,1,210,D,1,D,40,F,13,D,1
20241,05287414,36,0,1,355,D,1,D,120,D,13,D,
20241,05287414,37,0,1,355,D,1,D,8,D,13,D,
20241,05287414,38,0,1,700,D,1,D,10,D,13,D,
20241,05287414,39,0,2,520,D,1,D,8,D,10,D,1
20241,05287424,21,0,1,610,D,1,D,80,D,10,D,
20241,05287424,22,0,1,500,D,1,D,100,D,11,D,
20241,05287424,23,0,1,500,D,1,D,100,D,12,D,
20241,05287424,24,0,1,530,D,1,D,40,D,12,D,
20241,05287424,25,0,1,150,D,1,D,250,F,13,D,
20241,05287424,26,0,1,210,D,1,D,40,D,12,D,
20241,05287524,28,0,1,840,D,1,D,120,D,12,D,
20241,05287524,29,0,1,530,D,1,D,50,D,12,D,
20241,05287524,30,0,1,700,D,1,D,315,D,10,D,
20241,05287614,21,0,1,820,D,1,D,99,D,11,D,
20241,05287614,22,0,1,210,D,1,D,12,D,13,D,
20241,05287614,23,0,1,355,D,1,D,18,D,13,D,
20241,05287714,39,0,1,355,D,1,D,59,D,13,D,
20241,05287754,12,0,1,355,D,1,D,21,D,13,D,
20241,05287754,13,0,1,840,D,1,D,17,D,13,D,
20241,05287774,29,0,1,840,D,1,D,16,D,13,D,
20241,05287774,30,0,1,500,D,1,D,64,D,12,D,
20241,05287774,31,0,1,355,D,1,D,16,D,13,D,
20241,05287804,29,0,1,330,D,1,D,6,D,13,D,
20241,05287834,41,0,1,800,D,1,D,300,D,13,D,
20241,05287874,14,0,1,820,D,1,D,75,D,10,D,
20241,05287874,15,0,1,355,D,1,D,21,D,10,D,
20241,05287874,16,0,1,355,D,1,D,21,D,11,D,
20241,05287874,17,0,1,370,D,1,D,30,D,12,D,
20241,05287874,18,0,2,370,D,1,D,60,D,10,D,
20241,05287894,32,0,1,530,D,1,D,12,D,10,D,
20241,05287894,33,0,1,310,D,1,D,45,D,10,D,
20241,05287894,34,0,1,355,D,1,D,15,D,13,D,
20241,05287944,17,0,1,830,D,1,D,18,D,13,D,2
20241,05287944,18,0,1,840,D,1,D,6,D,13,D,1
