QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20241,05421803,22,2,1,,A,21,E,110,D
20241,05421803,22,3,1,,A,31,E,120,D
20241,05421803,22,4,1,,A,116,E,130,D
20241,05421803,22,5,1,,A,137,E,150,D
20241,05421803,22,6,1,,A,19,E,160,D
20241,05421803,22,7,1,,A,1,E,170,D
20241,05421803,22,8,1,,A,25,E,180,D
20241,05421803,22,9,1,,A,29,E,190,D
20241,05423063,31,0,1,1,D,,H,,A
20241,05423063,31,1,1,,A,71,E,120,D
20241,05423063,31,2,1,,A,507,E,130,D
20241,05423063,31,3,1,,A,277,E,150,D
20241,05423063,31,4,1,,A,137,E,160,D
20241,05423063,31,5,1,,A,8,E,190,D
20241,05423153,18,0,1,1,D,,H,,A
20241,05423153,18,1,1,,A,35,E,210,D
20241,05423153,18,2,1,,A,55,E,220,D
20241,05424083,15,0,1,2,D,,H,,A
20241,05424083,15,1,1,,A,172,E,100,D
20241,05424083,15,2,1,,A,36,E,110,D
20241,05424083,15,3,1,,A,42,E,210,D
20241,05424893,78,0,1,1,D,,H,,A
20241,05424893,78,1,1,,A,37,E,100,D
20241,05424893,78,2,1,,A,9,E,110,D
20241,05424893,78,3,1,,A,17,E,120,D
20241,05424893,78,4,1,,A,1,E,140,D
20241,05424893,78,5,1,,A,124,E,150,D
20241,05424893,78,6,1,,A,3,E,160,D
20241,05424893,78,7,1,,A,3,E,170,D
20241,05424893,78,8,1,,A,6,E,190,D
20241,05424903,32,0,1,1,D,,H,,A
20241,05424903,32,1,1,,A,119,E,100,D
20241,05424903,32,2,1,,A,31,E,110,D
20241,05424903,32,3,1,,A,50,E,210,D
20241,05426783,21,0,1,1,D,,H,,A
20241,05426783,21,1,1,,A,23,E,100,D
20241,05426783,21,2,1,,A,3,E,110,D
20241,05426783,21,3,1,,A,80,E,120,D
20241,05426783,21,4,1,,A,230,E,150,D
20241,05426783,21,5,1,,A,17,E,160,D
20241,05426783,21,6,1,,A,34,E,170,D
20241,05426783,21,7,1,,A,13,E,210,D
20241,05431883,56,0,1,1,D,,H,,A
20241,05431883,56,1,1,,A,12,E,210,D
20241,05431883,56,2,1,,A,18,E,220,D
20241,05432233,49,0,1,1,D,,H,,A
20241,05432233,49,1,1,,A,39,E,210,D
20241,05432233,49,2,1,,A,61,E,220,D
20241,05433173,35,0,1,1,D,,H,,A
20241,05433173,35,1,1,,A,247,E,100,D
20241,05433173,35,2,1,,A,53,E,110,D
20241,05433523,25,0,1,1,D,,H,,A
20241,05433523,25,1,1,,A,31,E,210,D
20241,05433523,25,2,1,,A,49,E,220,D
20241,05434533,84,0,1,4,D,,H,,A
20241,05434533,84,1,1,,A,1237,E,100,D
20241,05434533,84,2,1,,A,263,E,110,D
20241,05434663,30,0,1,1,D,,H,,A
20241,05434663,30,1,1,,A,5,E,100,D
20241,05434663,30,2,1,,A,17,E,120,D
20241,05434663,30,3,1,,A,13,E,130,D
20241,05434663,30,4,1,,A,55,E,150,D
20241,05434663,30,5,1,,A,3,E,160,D
20241,05434663,30,6,1,,A,7,E,170,D
20241,05436833,47,0,1,5,D,,H,,A
20241,05436833,47,1,1,,A,41,E,100,D
20241,05436833,47,2,1,,A,9,E,110,D
20241,05436863,28,0,1,2,D,,H,,A
20241,05436863,28,1,1,,A,71,E,100,D
20241,05436863,28,2,1,,A,3,E,110,D
20241,05436863,28,3,1,,A,126,E,150,D
20241,05437763,25,0,1,1,D,,H,,A
20241,05437763,25,1,1,,A,148,E,100,D
20241,05437763,25,2,1,,A,21,E,110,D
20241,05437763,25,3,1,,A,486,E,120,D
20241,05437763,25,4,1,,A,387,E,130,D
20241,05437763,25,5,1,,A,1437,E,150,D
20241,05437763,25,6,1,,A,108,E,160,D
20241,05437763,25,7,1,,A,213,E,170,D
20241,05441133,11,0,1,1,D,,H,,A
20241,05441133,11,1,1,,A,163,E,100,D
20241,05441133,11,2,1,,A,34,E,110,D
20241,05441133,11,3,1,,A,38,E,210,D
20241,05442063,22,0,1,1,D,,H,,A
20241,05442063,22,1,1,,A,804,E,100,D
20241,05442063,22,2,1,,A,196,E,110,D
20241,05443373,27,0,1,1,D,,H,,A
20241,05443373,27,1,1,,A,202,E,120,D
20241,05443373,27,2,1,,A,15,E,140,D
20241,05443373,27,3,1,,A,1617,E,150,D
20241,05443373,27,4,1,,A,40,E,160,D
20241,05443373,27,5,1,,A,41,E,170,D
20241,05443373,27,6,1,,A,85,E,190,D
20241,05445603,44,0,1,1,D,,H,,A
20241,05445603,44,1,1,,A,196,E,120,D
20241,05445603,44,2,1,,A,576,E,150,D
20241,05445603,44,3,1,,A,43,E,160,D
20241,05445603,44,4,1,,A,85,E,170,D
20241,05446113,26,0,1,1,D,,H,,A
20241,05446113,26,1,1,,A,71,E,100,D
20241,05446113,26,2,1,,A,2,E,110,D
20241,05446113,26,3,1,,A,127,E,150,D
20241,05540322,30,0,1,1,D,,H,,A
20241,05540322,30,1,1,,A,48,E,120,D
20241,05540322,30,2,1,,A,3,E,140,D
20241,05540322,30,3,1,,A,363,E,150,D
20241,05540322,30,4,1,,A,9,E,160,D
20241,05540322,30,5,1,,A,8,E,170,D
20241,05540322,30,6,1,,A,19,E,190,D
20241,05540932,9,0,1,1,D,,H,,A
20241,05540932,9,1,1,,A,175,E,100,D
20241,05540932,9,2,1,,A,25,E,110,D
20241,05542802,18,0,1,1,D,,H,,A
20241,05542802,18,1,1,,A,42,E,100,D
20241,05542802,18,2,1,,A,8,E,110,D
20241,05544422,18,0,1,1,D,,H,,A
20241,05544422,18,1,1,,A,30,E,130,D
20241,05545942,36,0,1,8,D,,H,,A
20241,05545942,36,1,1,,A,921,E,100,D
20241,05545942,36,2,1,,A,273,E,110,D
20241,05545942,36,3,1,,A,1506,E,130,D
20241,05547712,19,0,1,1,D,,H,,A
20241,05547712,19,1,1,,A,49,E,100,D
20241,05547712,19,2,1,,A,11,E,110,D
20241,05548732,66,0,1,1,D,,H,,A
20241,05548732,66,1,1,,A,233,E,210,D
20241,05548732,66,2,1,,A,367,E,220,D
20241,05549602,28,0,1,1,D,,H,,A
20241,05549602,28,1,1,,A,27,E,100,D
20241,05549602,28,2,1,,A,8,E,110,D
20241,05550102,39,0,1,2,D,,H,,A
20241,05550102,39,1,1,,A,385,E,100,D
20241,05550102,39,2,1,,A,115,E,110,D
20241,05550872,19,0,1,1,D,,H,,A
20241,05550872,19,1,1,,A,87,E,100,D
20241,05550872,19,2,1,,A,13,E,110,D
20241,05552372,33,0,1,1,D,,H,,A
20241,05552372,33,1,1,,A,53,E,100,D
20241,05552372,33,2,1,,A,10,E,110,D
20241,05552372,33,3,1,,A,21,E,120,D
20241,05552372,33,4,1,,A,3,E,140,D
20241,05552372,33,5,1,,A,106,E,150,D
20241,05552372,33,6,1,,A,2,E,160,D
20241,05552372,33,7,1,,A,5,E,190,D
20241,05553272,33,0,1,1,D,,H,,A
20241,05553272,33,1,1,,A,481,E,100,D
20241,05553272,33,2,1,,A,116,E,110,D
20241,05553272,33,3,1,,A,203,E,210,D
20241,05555082,33,0,1,1,D,,H,,A
20241,05555082,33,1,1,,A,78,E,100,D
20241,05555082,33,2,1,,A,22,E,110,D
20241,05556712,36,0,1,7,D,,H,,A
20241,05556712,36,1,1,,A,78,E,210,D
20241,05556712,36,2,1,,A,122,E,220,D
20241,05556924,35,0,1,3,D,,H,,A
20241,05556924,35,1,1,,A,62,E,100,D
20241,05556924,35,2,1,,A,13,E,110,D
20241,05557032,20,0,1,1,D,,H,,A
20241,05557032,20,1,1,,A,100,E,100,D
20241,05557032,20,2,1,,A,5,E,110,D
20241,05557032,20,3,1,,A,718,E,130,D
20241,05557032,20,4,1,,A,177,E,150,D
20241,05557682,32,0,1,1,D,,H,,A
20241,05557682,32,1,1,,A,82,E,100,D
20241,05557682,32,2,1,,A,18,E,110,D
20241,05559732,45,0,1,2,D,,H,,A
20241,05559732,45,1,1,,A,455,G,100,D
20241,05559732,45,2,1,,A,110,G,110,D
20241,05559732,45,3,1,,A,188,G,120,D
20241,05559732,45,4,1,,A,1068,G,130,D
20241,05559732,45,5,1,,A,14,G,140,D
20241,05559732,45,6,1,,A,1513,G,150,D
20241,05559732,45,7,1,,A,37,G,160,D
20241,05559732,45,8,1,,A,36,G,170,D
20241,05559732,45,9,1,,A,79,G,190,D
20241,05559902,20,0,1,1,D,,H,,A
20241,05559902,20,1,1,,A,176,E,100,D
20241,05559902,20,2,1,,A,39,E,110,D
20241,05559902,20,3,1,,A,485,E,130,D
20241,05561732,21,0,1,1,D,,H,,A
20241,05561732,21,1,1,,A,121,E,100,D
20241,05561732,21,2,1,,A,35,E,110,D
20241,05561732,21,3,1,,A,43,E,120,D
20241,05561732,21,4,1,,A,227,E,150,D
20241,05561732,21,5,1,,A,32,E,160,D
20241,05561732,21,6,1,,A,2,E,170,D
20241,05561732,21,7,1,,A,42,E,180,D
20241,05561732,21,8,1,,A,48,E,190,D
20241,05561892,36,0,1,2,D,,H,,A
20241,05561892,36,1,1,,A,330,E,100,D
20241,05561892,36,2,1,,A,70,E,110,D
20241,05565052,25,0,1,1,D,,H,,A
20241,05565052,25,1,1,,A,1300,E,130,D
20241,05565492,64,0,1,2,D,,H,,A
20241,05565492,64,1,1,,A,99,E,100,D
20241,05565492,64,2,1,,A,21,E,110,D
20241,05569792,18,0,1,1,D,,H,,A
20241,05569792,18,1,1,,A,1610,E,100,D
20241,05569792,18,2,1,,A,390,E,110,D
20241,05571302,27,0,1,4,D,,H,,A
20241,05571302,27,1,1,,A,2313,E,100,D
20241,05571302,27,2,1,,A,687,E,110,D
20241,05571812,50,0,1,1,D,,H,,A
20241,05571812,50,1,1,,A,81,E,100,D
20241,05571812,50,2,1,,A,19,E,110,D
20241,05572742,28,0,1,1,D,,H,,A
20241,05572742,28,1,1,,A,501,E,100,D
20241,05572742,28,2,1,,A,116,E,110,D
20241,05572742,28,3,1,,A,195,E,120,D
20241,05572742,28,4,1,,A,1388,E,130,D
20241,05572742,28,5,1,,A,749,E,150,D
20241,05572742,28,6,1,,A,377,E,160,D
20241,05572742,28,7,1,,A,24,E,190,D
20241,05572762,27,0,1,1,D,,H,,A
20241,05572762,27,1,1,,A,12,E,210,D
20241,05572762,27,2,1,,A,18,E,220,D
20241,05573881,28,0,1,3,D,,H,,A
20241,05573881,28,1,1,,A,25,E,100,D
20241,05573881,28,2,1,,A,4,E,110,D
20241,05573881,28,3,1,,A,8,E,120,D
20241,05573881,28,4,1,,A,47,E,130,D
20241,05573881,28,5,1,,A,66,E,150,D
20241,05573881,28,6,1,,A,1,E,160,D
20241,05573881,28,7,1,,A,1,E,170,D
20241,05573881,28,8,1,,A,3,E,190,D
20241,05573881,28,9,1,,A,8,E,210,D
20241,05574471,33,0,1,1,D,,H,,A
20241,05574471,33,1,1,,A,160,E,100,D
20241,05574471,33,2,1,,A,40,E,110,D
20241,05574541,52,0,1,,C,,H,,A
20241,05574541,52,1,1,,A,1236,G,100,D
20241,05574541,52,2,1,,A,264,G,110,D
20241,05574651,13,0,1,1,D,,H,,A
20241,05574651,13,1,1,,A,154,E,100,D
20241,05574651,13,2,1,,A,46,E,110,D
20241,05579781,23,0,1,1,D,,H,,A
20241,05579781,23,1,1,,A,42,E,100,D
20241,05579781,23,2,1,,A,8,E,110,D
20241,05579911,19,0,1,1,D,,H,,A
20241,05579911,19,1,1,,A,4055,E,100,D
20241,05579911,19,2,1,,A,857,E,110,D
20241,05579911,19,3,1,,A,1809,E,120,D
20241,05579911,19,4,1,,A,5845,U,130,D
20241,05579911,19,5,1,,A,328,E,140,D
20241,05579911,19,6,1,,A,8917,E,150,D
20241,05579911,19,7,1,,A,244,E,160,D
20241,05579911,19,8,1,,A,475,E,190,D
20241,05580781,38,0,1,1,D,,H,,A
20241,05580781,38,1,1,,A,2551,E,100,D
20241,05580781,38,2,1,,A,756,E,110,D
20241,05580781,38,3,1,,A,934,E,120,D
20241,05580781,38,4,1,,A,4893,E,150,D
20241,05580781,38,5,1,,A,699,E,160,D
20241,05580781,38,6,1,,A,50,E,170,D
20241,05580781,38,7,1,,A,913,E,180,D
20241,05580781,38,8,1,,A,1041,E,190,D
20241,05580781,38,9,1,,A,3163,E,210,D
20241,05582021,40,0,1,2,D,,H,,A
20241,05582021,40,1,1,,A,61,E,100,D
20241,05582021,40,2,1,,A,11,E,110,D
20241,05582021,40,3,1,,A,8,E,120,D
20241,05582021,40,4,1,,A,177,E,130,D
20241,05582021,40,5,1,,A,3,E,140,D
20241,05582021,40,6,1,,A,164,E,150,D
20241,05582021,40,7,1,,A,40,E,160,D
20241,05582021,40,8,1,,A,15,E,170,D
20241,05582021,40,9,1,,A,21,E,190,D
20241,05582491,49,0,1,1,D,,H,,A
20241,05582491,49,1,1,,A,83,E,100,D
20241,05582491,49,2,1,,A,17,E,110,D
20241,05583621,28,0,1,1,D,,H,,A
20241,05583621,28,1,1,,A,167,E,100,D
20241,05583621,28,2,1,,A,35,E,110,D
20241,05583621,28,3,1,,A,25,E,120,D
20241,05583621,28,4,1,,A,531,E,130,D
20241,05583621,28,5,1,,A,11,E,140,D
20241,05583621,28,6,1,,A,492,E,150,D
20241,05583621,28,7,1,,A,122,E,160,D
20241,05583621,28,8,1,,A,46,E,170,D
20241,05583621,28,9,1,,A,71,E,190,D
20241,05583941,20,0,1,1,D,,H,,A
20241,05583941,20,1,1,,A,10,E,100,D
20241,05583941,20,2,1,,A,2,E,110,D
20241,05583941,20,3,1,,A,3,E,210,D
20241,05584391,43,0,1,1,D,,H,,A
20241,05584391,43,1,1,,A,51,E,100,D
20241,05584391,43,2,1,,A,15,E,110,D
20241,05584391,43,3,1,,A,7,E,120,D
20241,05584391,43,4,1,,A,3,E,140,D
20241,05584391,43,5,1,,A,152,E,150,D
20241,05584391,43,6,1,,A,38,E,160,D
20241,05584391,43,7,1,,A,14,E,170,D
20241,05584391,43,8,1,,A,20,E,190,D
20241,05584611,36,0,1,1,D,,H,,A
20241,05584611,36,1,1,,A,473,E,100,D
20241,05584611,36,2,1,,A,140,E,110,D
20241,05584611,36,3,1,,A,587,E,210,D
20241,05586521,20,0,1,1,D,,H,,A
20241,05586521,20,1,1,,A,748,E,100,D
20241,05586521,20,2,1,,A,181,E,110,D
20241,05586521,20,3,1,,A,310,E,120,D
20241,05586521,20,4,1,,A,23,E,140,D
20241,05586521,20,5,1,,A,2481,E,150,D
20241,05586521,20,6,1,,A,67,E,160,D
20241,05586521,20,7,1,,A,60,E,170,D
20241,05586521,20,8,1,,A,130,E,190,D
20241,05589591,19,0,1,1,D,,H,,A
20241,05589591,19,1,1,,A,52,E,100,D
20241,05589591,19,2,1,,A,1,E,110,D
20241,05589591,19,3,1,,A,359,E,130,D
20241,05589591,19,4,1,,A,88,E,150,D
20241,05589771,34,0,1,1,D,,H,,A
20241,05589771,34,1,1,,A,43,E,100,D
20241,05589771,34,2,1,,A,9,E,110,D
20241,05589771,34,3,1,,A,6,E,120,D
20241,05589771,34,4,1,,A,2,E,140,D
20241,05589771,34,5,1,,A,131,E,150,D
20241,05589771,34,6,1,,A,31,E,160,D
20241,05589771,34,7,1,,A,12,E,170,D
20241,05589771,34,8,1,,A,16,E,190,D
20241,05591311,39,0,1,1,D,,H,,A
20241,05591311,39,1,1,,A,18,E,100,D
20241,05591311,39,2,1,,A,4,E,110,D
20241,05591311,39,3,1,,A,7,E,120,D
20241,05591311,39,4,1,,A,4,E,140,D
20241,05591311,39,5,1,,A,62,E,150,D
20241,05591311,39,6,1,,A,1,E,160,D
20241,05591311,39,7,1,,A,1,E,170,D
20241,05591311,39,8,1,,A,3,E,190,D
20241,05592831,17,0,1,2,D,,H,,A
20241,05592831,17,1,1,,A,146,E,100,D
20241,05592831,17,2,1,,A,42,E,110,D
20241,05592831,17,3,1,,A,52,E,120,D
20241,05592831,17,4,1,,A,231,E,130,D
20241,05592831,17,5,1,,A,272,E,150,D
20241,05592831,17,6,1,,A,38,E,160,D
20241,05592831,17,7,1,,A,2,E,170,D
20241,05592831,17,8,1,,A,50,E,180,D
20241,05592831,17,9,1,,A,57,E,190,D
20241,05593071,52,0,1,3,D,,H,,A
20241,05593071,52,1,1,,A,5,E,100,D
20241,05593071,52,2,1,,A,37,E,130,D
20241,05593071,52,3,1,,A,8,E,150,D
20241,05596781,19,0,1,1,D,,H,,A
20241,05596781,19,1,1,,A,24,E,100,D
20241,05596781,19,2,1,,A,6,E,110,D
20241,05598201,36,0,1,1,D,,H,,A
20241,05598201,36,1,1,,A,108,E,100,D
20241,05598201,36,2,1,,A,22,E,110,D
20241,05598531,43,0,1,2,D,,H,,A
20241,05598531,43,1,1,,A,6,E,100,D
20241,05598531,43,2,1,,A,1,E,110,D
20241,05598531,43,3,1,,A,1,E,120,D
20241,05598531,43,4,1,,A,4,E,140,D
20241,05598531,43,5,1,,A,20,E,150,D
20241,05598531,43,6,1,,A,5,E,160,D
20241,05598531,43,7,1,,A,1,E,170,D
20241,05598531,43,8,1,,A,2,E,190,D
20241,05598681,28,0,1,1,D,,H,,A
20241,05598681,28,1,1,,A,161,E,100,D
20241,05598681,28,2,1,,A,39,E,110,D
20241,05602071,36,0,1,1,D,,H,,A
20241,05602071,36,1,1,,A,17,E,100,D
20241,05602071,36,2,1,,A,3,E,110,D
20241,05603351,29,0,1,1,D,,H,,A
20241,05603351,29,1,1,,A,173,E,100,D
20241,05603351,29,2,1,,A,26,E,110,D
20241,05603351,29,3,1,,A,101,E,210,D
20241,05603361,41,0,1,1,D,,H,,A
20241,05603361,41,1,1,,A,397,E,100,D
20241,05603361,41,2,1,,A,83,E,110,D
20241,05603361,41,3,1,,A,59,E,120,D
20241,05603361,41,4,1,,A,1240,E,130,D
20241,05603361,41,5,1,,A,26,E,140,D
