QYEAR,NEWID,MEMBNO,SEQNO,ALCNO,REC_ORIG,PBTPD,PBTPD_,PBTDAYX,PBTDAYX_,JPBTAMTX,JPBT_MTX
20241,05420153,1,35,0,1,7,D,,A,2,D
20241,05420173,1,32,0,1,4,D,,A,23,D
20241,05420393,1,13,0,1,3,D,,A,408,D
20241,05421253,1,7,0,1,2,D,,A,520,D
20241,05421463,1,28,0,1,7,D,,A,4,D
20241,05421463,2,29,0,1,7,D,,A,4,D
20241,05421723,1,58,0,1,3,D,,A,48,D
20241,05421723,2,59,0,1,3,D,,A,48,D
20241,05422043,1,13,0,1,3,D,,A,390,D
20241,05422233,1,7,0,1,2,D,,A,221,D
20241,05422233,2,8,0,1,2,D,,A,221,D
20241,05422433,2,37,0,1,7,D,,A,18,D
20241,05422833,1,5,0,1,2,D,,A,325,D
20241,05423503,2,43,0,1,7,D,,A,23,D
20241,05423863,1,32,0,1,7,D,,A,31,D
20241,05423863,2,33,0,1,7,D,,A,31,D
20241,05424003,1,24,0,1,3,D,,A,30,D
20241,05424033,1,65,0,1,4,D,,A,30,D
20241,05424033,2,66,0,1,4,D,,A,30,D
20241,05424053,3,21,0,1,1,D,5,D,325,D
20241,05424353,1,11,0,1,2,D,,A,390,D
20241,05424573,2,60,0,1,4,D,,A,15,D
20241,05424613,1,7,0,1,3,D,,A,600,D
20241,05424613,2,8,0,1,3,D,,A,600,D
20241,05424613,3,9,0,1,3,D,,A,600,D
20241,05424613,4,10,0,1,3,D,,A,600,D
20241,05424903,1,22,0,1,4,D,,A,40,D
20241,05425753,1,12,0,1,2,D,,A,104,D
20241,05425963,2,28,0,1,1,D,5,D,715,D
20241,05426583,1,15,0,1,7,D,,A,15,D
20241,05427013,1,20,0,1,2,D,,A,117,D
20241,05427283,1,9,0,1,3,D,,A,210,D
20241,05427283,2,10,0,1,3,D,,A,141,D
20241,05427433,1,31,0,1,3,D,,A,60,D
20241,05427433,2,32,0,1,3,D,,A,30,D
20241,05428173,1,32,0,1,3,D,,A,300,D
20241,05428543,1,28,0,1,7,D,,A,10,D
20241,05428543,2,29,0,1,7,D,,A,10,D
20241,05428803,1,48,0,1,7,D,,A,20,D
20241,05428813,2,21,0,1,3,D,,A,90,D
20241,05428853,1,50,0,1,3,D,,A,30,D
20241,05428973,1,30,0,1,3,D,,A,507,D
20241,05429153,2,22,0,1,3,D,,A,90,D
20241,05429243,2,19,0,1,2,D,,A,156,D
20241,05429243,5,20,0,1,2,D,,A,156,D
20241,05429493,1,46,0,1,3,D,,A,150,D
20241,05429493,2,47,0,1,7,D,,A,6,D
20241,05429493,3,48,0,1,3,D,,A,150,D
20241,05429673,1,35,0,1,7,D,,A,80,D
20241,05429673,3,36,0,1,7,D,,A,80,D
20241,05429743,1,13,0,1,7,D,,A,8,D
20241,05429793,1,21,0,1,7,D,,A,3,D
20241,05429993,1,9,0,1,3,D,,A,162,D
20241,05430183,2,43,0,1,3,D,,A,459,D
20241,05430193,1,22,0,1,2,D,,A,130,D
20241,05430193,2,23,0,1,2,D,,A,65,D
20241,05430243,1,44,0,1,4,D,,A,10,D
20241,05430243,2,45,0,1,4,D,,A,10,D
20241,05430353,1,22,0,1,3,D,,A,30,D
20241,05430353,2,23,0,1,3,D,,A,30,D
20241,05430623,1,18,0,1,3,D,,A,300,D
20241,05430733,1,13,0,1,7,D,,A,10,D
20241,05432493,1,22,0,1,1,D,2,D,104,D
20241,05432653,1,51,0,1,7,D,,A,5,D
20241,05432863,1,7,0,1,2,D,,A,390,D
20241,05432933,1,49,0,1,3,D,,A,174,D
20241,05432933,2,50,0,1,3,D,,A,300,D
20241,05432933,3,51,0,1,3,D,,A,30,D
20241,05432973,1,6,0,1,3,D,,A,300,D
20241,05432973,2,7,0,1,3,D,,A,300,D
20241,05432973,3,8,0,1,3,D,,A,300,D
20241,05432973,4,9,0,1,3,D,,A,300,D
20241,05433663,4,62,0,1,2,D,,A,182,D
20241,05434363,1,10,0,1,3,D,,A,90,D
20241,05434363,2,11,0,1,3,D,,A,240,D
20241,05434533,1,69,0,1,4,D,,A,7,D
20241,05434693,1,27,0,1,7,D,,A,2,D
20241,05434803,1,7,0,1,3,D,,A,60,D
20241,05434863,1,21,0,1,2,D,,A,195,D
20241,05434863,2,22,0,1,2,D,,A,195,D
20241,05436043,2,27,0,1,7,D,,A,90,D
20241,05436123,1,17,0,1,3,D,,A,150,D
20241,05436443,1,27,0,1,7,D,,A,100,D
20241,05436443,2,28,0,1,7,D,,A,100,D
20241,05436733,1,8,0,1,3,D,,A,174,D
20241,05436983,1,39,0,1,,A,,A,164,F
