QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20241,05286974,18,0,1,420,D,1,D,12,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286974,19,0,1,620,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286974,20,0,1,620,D,1,D,11,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286974,21,0,1,620,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286984,17,0,1,530,D,1,D,11,D,375,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286984,18,0,1,655,D,1,D,10,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20241,05287004,16,0,1,420,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287004,17,0,1,620,D,1,D,12,D,163,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287044,11,0,1,330,D,1,D,11,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287054,15,0,1,120,D,1,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287094,17,0,1,420,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287094,18,0,1,620,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287114,17,0,1,420,D,1,D,12,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287114,18,0,1,200,D,1,D,11,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287124,8,0,1,620,D,1,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287144,10,0,1,620,D,1,D,10,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287144,11,0,1,620,D,1,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287144,12,0,2,200,D,1,D,10,D,6695,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287204,20,0,1,420,D,1,D,10,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287294,7,0,1,420,D,1,D,13,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287294,8,0,1,410,D,1,D,13,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20241,05287294,9,0,1,510,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287294,10,0,1,620,D,1,D,13,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287314,22,0,1,330,D,1,D,10,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287414,23,0,1,110,D,1,D,10,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287424,10,0,1,120,D,1,D,11,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287524,17,0,1,620,D,1,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287554,14,0,1,330,D,1,D,12,D,569,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287554,15,0,1,420,D,1,D,12,D,178,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287554,16,0,1,410,D,1,D,12,D,288,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05287554,17,0,1,620,D,1,D,11,D,87,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287614,13,0,2,510,D,1,D,10,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287714,23,0,1,410,D,1,D,11,D,2374,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05287774,16,0,1,420,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287774,17,0,1,200,D,1,D,12,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287774,18,0,1,120,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287774,19,0,1,620,D,1,D,12,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287784,7,0,1,620,D,1,D,12,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287784,8,0,2,620,D,1,D,10,D,87,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287834,18,0,1,200,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287834,19,0,1,420,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
