QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,EQBPURCH,APPRPB9_
20241,05577701,6,0,1,190,D,10,D,116,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05578331,9,0,1,190,D,10,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05579011,3,0,1,100,D,11,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05579321,3,0,1,190,D,10,D,121,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05579341,5,0,1,110,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05579351,12,0,1,110,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05579601,12,0,1,110,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05579701,3,0,1,130,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05580131,9,0,1,110,D,12,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05580221,12,0,1,110,D,10,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05580221,13,0,1,140,D,12,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05580331,2,0,1,190,D,13,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05580381,8,0,1,200,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05580781,7,0,1,220,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05580781,8,0,1,190,D,11,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05580991,9,0,1,200,D,12,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05581851,8,0,1,190,D,10,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05582021,10,0,1,140,D,11,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05582021,11,0,1,190,D,13,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05582021,12,0,1,200,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05582091,2,0,1,190,D,13,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05582251,4,0,1,130,D,10,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05582351,5,0,1,200,D,13,D,63,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05582491,8,0,1,110,D,11,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05583181,8,0,1,130,D,11,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05583511,10,0,1,110,D,12,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05583861,3,0,1,190,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05584431,6,0,1,190,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05584601,16,0,1,110,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05585031,7,0,1,190,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05585281,8,0,1,190,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05585651,4,0,1,190,D,12,D,131,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05585651,5,0,1,190,D,11,D,131,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05586001,7,0,1,190,D,12,D,183,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05586011,3,0,1,190,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05586051,7,0,1,110,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05586331,3,0,1,100,D,12,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05586411,10,0,1,190,D,11,D,102,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05586411,11,0,1,220,D,12,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05586541,7,0,1,200,D,01,D,149,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05586851,6,0,1,200,D,01,D,285,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05587381,6,0,1,110,D,13,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05587601,16,0,1,220,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05587981,4,0,1,220,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05588244,2,0,1,120,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05588621,3,0,1,190,D,12,D,129,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05588771,7,0,1,110,D,13,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,3,A
20241,05588871,10,0,1,190,D,01,D,78,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05588901,4,0,1,190,D,11,D,139,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05589451,3,0,1,200,D,01,D,545,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05589481,7,0,1,220,D,11,D,422,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05589481,8,0,1,110,D,11,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05589481,9,0,1,190,D,12,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05589501,4,0,1,190,D,01,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05589951,7,0,1,190,D,13,D,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05589951,8,0,1,110,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05590051,10,0,1,170,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05590281,16,0,1,110,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05590281,17,0,1,220,D,13,D,125,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05590291,6,0,1,200,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05590321,5,0,1,190,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05590621,3,0,1,190,D,13,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05591171,5,0,1,100,D,12,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05591171,6,0,1,110,D,01,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05592041,5,0,1,200,D,12,D,164,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05592071,11,0,1,220,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05592071,12,0,1,220,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05592551,3,0,1,100,D,01,D,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05592921,5,0,1,190,D,13,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593051,14,0,1,200,D,01,D,159,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593071,7,0,1,200,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593091,7,0,1,190,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593251,7,0,1,110,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593321,4,0,1,110,D,12,D,92,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593321,5,0,1,200,D,13,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593411,3,0,1,190,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593411,4,0,1,110,D,13,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593491,6,0,1,190,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05593651,6,0,1,190,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05594151,4,0,1,190,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05594221,4,0,1,110,D,13,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05594581,5,0,1,190,D,13,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05594881,4,0,1,200,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05594901,4,0,1,190,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05595081,3,0,1,190,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05595151,3,0,1,150,D,11,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05595151,4,0,1,110,D,11,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05595981,7,0,1,130,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05596071,3,0,1,110,D,11,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05596151,13,0,1,200,D,12,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05596221,10,0,1,220,D,12,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05596621,2,0,1,200,D,01,D,337,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05596951,8,0,1,220,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05597501,8,0,1,220,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05597611,9,0,1,190,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05598031,4,0,1,100,D,12,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
