QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20241,05295564,9,0,1,120,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,10,0,1,370,D,1,D,11,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,11,0,1,470,D,1,D,12,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,12,0,1,380,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295584,4,0,1,370,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295634,4,0,2,450,D,1,D,10,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05296334,10,0,1,470,D,1,D,12,D,1185,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05296754,6,0,1,460,D,1,D,11,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05296894,13,0,1,370,D,2,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05296894,14,0,1,380,D,1,D,12,D,67,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05297024,3,0,1,370,D,1,D,12,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05297344,2,0,1,370,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05344324,2,0,2,370,D,1,D,11,D,375,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05344364,1,0,1,370,D,1,D,12,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05344444,1,0,1,380,D,1,D,01,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05344834,4,0,1,120,D,1,D,01,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05344964,1,0,1,120,D,1,D,01,D,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05345024,4,0,1,380,D,1,D,12,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05345124,4,0,1,380,D,1,D,01,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05345584,1,0,1,480,D,1,D,12,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05345584,2,0,1,480,D,1,D,11,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05345584,3,0,1,480,D,1,D,01,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05345584,4,0,2,380,D,1,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05345764,2,0,1,380,D,2,D,12,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05345814,3,0,1,370,D,1,D,01,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05346034,3,0,1,380,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05346074,3,0,1,370,D,1,D,12,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05346174,1,0,1,370,D,1,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05346244,1,0,1,120,D,1,D,01,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05346244,2,0,1,460,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05346454,1,0,1,380,D,2,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05347364,4,0,1,370,D,2,D,12,D,164,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05347474,7,0,1,370,D,1,D,12,D,66,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05347474,8,0,1,380,D,2,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05348184,2,0,1,370,D,1,D,12,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05348334,13,0,1,380,D,1,D,01,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05348424,6,0,1,380,D,1,D,11,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05348424,7,0,2,490,D,1,D,11,D,219,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05348494,2,0,1,460,D,1,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05348544,13,0,1,460,D,1,D,12,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05348544,14,0,1,380,D,1,D,12,D,36,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
