QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,PRPYCELL,PRPY_ELL,PRPYCLX,PRPYCLX_
20241,05289764,40,0,1,,2,D,,A,2,D,,A
20241,05289774,33,0,1,,2,D,,A,2,D,,A
20241,05289854,16,0,1,,2,D,,A,2,D,,A
20241,05289864,35,0,1,,2,D,,A,2,D,,A
20241,05289894,21,0,1,,2,D,,A,2,D,,A
20241,05289904,34,0,1,,2,D,,A,2,D,,A
20241,05289984,23,0,1,,2,D,,A,2,D,,A
20241,05290044,29,0,1,,2,D,,A,2,D,,A
20241,05290054,17,0,1,,2,D,,A,2,D,,A
20241,05290094,38,0,1,,2,D,,A,2,D,,A
20241,05290104,18,0,1,,2,D,,A,2,D,,A
20241,05290144,36,0,1,,2,D,,A,2,D,,A
20241,05290184,21,0,1,,2,D,,A,2,D,,A
20241,05290194,43,0,1,,2,D,,A,2,D,,A
20241,05290234,34,0,1,,2,D,,A,2,D,,A
20241,05290244,57,0,1,,2,D,,A,2,D,,A
20241,05290254,62,0,1,,2,D,,A,2,D,,A
20241,05290264,27,0,1,,2,D,,A,2,D,,A
20241,05290304,26,0,1,,2,D,,A,2,D,,A
20241,05290384,20,0,1,,2,D,,A,2,D,,A
20241,05290414,91,0,1,,2,D,,A,2,D,,A
20241,05290424,43,0,1,,2,D,,A,2,D,,A
20241,05290444,17,0,1,,2,D,,A,2,D,,A
20241,05290504,23,0,1,,2,D,,A,2,D,,A
20241,05290514,52,0,1,,2,D,,A,2,D,,A
20241,05290524,33,0,1,,2,D,,A,2,D,,A
20241,05290534,54,0,1,,2,D,,A,2,D,,A
20241,05290544,20,0,1,,2,D,,A,2,D,,A
20241,05290554,17,0,1,,2,D,,A,2,D,,A
20241,05290624,24,0,1,,2,D,,A,2,D,,A
20241,05290644,22,0,1,,2,D,,A,2,D,,A
20241,05290704,47,0,1,,2,D,,A,2,D,,A
20241,05290714,11,0,1,,2,D,,A,2,D,,A
20241,05290734,19,0,1,,2,D,,A,2,D,,A
20241,05290754,35,0,1,,2,D,,A,2,D,,A
20241,05290764,45,0,1,,2,D,,A,2,D,,A
20241,05290784,20,0,1,,2,D,,A,2,D,,A
20241,05290804,23,0,1,,2,D,,A,2,D,,A
20241,05290824,52,0,1,,2,D,,A,2,D,,A
20241,05290884,27,0,1,,2,D,,A,2,D,,A
20241,05290914,36,0,1,,2,D,,A,2,D,,A
20241,05290924,58,0,1,,2,D,,A,2,D,,A
20241,05290964,18,0,1,,2,D,,A,2,D,,A
20241,05290984,37,0,1,,2,D,,A,2,D,,A
20241,05290994,35,0,1,,2,D,,A,2,D,,A
20241,05291004,37,0,1,,2,D,,A,2,D,,A
20241,05291014,24,0,1,,2,D,,A,2,D,,A
20241,05291044,34,0,1,,2,D,,A,2,D,,A
20241,05291074,43,0,1,,2,D,,A,2,D,,A
20241,05291084,19,0,1,,2,D,,A,2,D,,A
20241,05291094,43,0,1,,2,D,,A,2,D,,A
20241,05291114,50,0,1,,2,D,,A,2,D,,A
20241,05291124,35,0,1,,2,D,,A,2,D,,A
20241,05291154,29,0,1,,2,D,,A,2,D,,A
20241,05291184,57,0,1,,2,D,,A,2,D,,A
20241,05291214,14,0,1,,2,D,,A,2,D,,A
20241,05291274,42,0,1,,2,D,,A,2,D,,A
20241,05291294,35,0,1,,2,D,,A,2,D,,A
20241,05291324,54,0,1,,2,D,,A,2,D,,A
20241,05291394,35,0,1,,2,D,,A,2,D,,A
20241,05291414,41,0,1,,2,D,,A,2,D,,A
20241,05291424,33,0,1,,2,D,,A,2,D,,A
20241,05291434,24,0,1,,2,D,,A,2,D,,A
20241,05291484,25,0,1,,2,D,,A,2,D,,A
20241,05291494,53,0,1,,2,D,,A,2,D,,A
20241,05291534,24,0,1,,2,D,,A,2,D,,A
20241,05291544,36,0,1,,2,D,,A,2,D,,A
20241,05291584,27,0,1,,2,D,,A,2,D,,A
20241,05291664,19,0,1,,2,D,,A,2,D,,A
20241,05291674,57,0,1,,2,D,,A,2,D,,A
20241,05291694,57,0,1,,1,D,200,D,2,D,,A
20241,05291714,37,0,1,,2,D,,A,2,D,,A
20241,05291754,27,0,1,,2,D,,A,2,D,,A
20241,05291764,29,0,1,,2,D,,A,2,D,,A
20241,05291774,34,0,1,,2,D,,A,2,D,,A
20241,05291814,30,0,1,,2,D,,A,2,D,,A
20241,05291824,30,0,1,,2,D,,A,2,D,,A
20241,05291884,19,0,1,,2,D,,A,2,D,,A
20241,05291894,36,0,1,,2,D,,A,2,D,,A
20241,05291914,50,0,1,,2,D,,A,2,D,,A
20241,05291924,39,0,1,,2,D,,A,2,D,,A
20241,05291974,24,0,1,,2,D,,A,2,D,,A
20241,05292004,11,0,1,,2,D,,A,2,D,,A
20241,05292074,62,0,1,,2,D,,A,2,D,,A
20241,05292084,22,0,1,,2,D,,A,2,D,,A
20241,05292094,43,0,1,,2,D,,A,2,D,,A
20241,05292114,59,0,1,,2,D,,A,2,D,,A
20241,05292144,27,0,1,,2,D,,A,2,D,,A
20241,05292184,26,0,1,,2,D,,A,2,D,,A
20241,05292234,23,0,1,,2,D,,A,2,D,,A
20241,05292254,44,0,1,,2,D,,A,2,D,,A
20241,05292274,41,0,1,,2,D,,A,2,D,,A
20241,05292294,19,0,1,,2,D,,A,2,D,,A
20241,05292314,21,0,1,,2,D,,A,2,D,,A
20241,05292384,37,0,1,,2,D,,A,2,D,,A
20241,05292434,26,0,1,,2,D,,A,2,D,,A
20241,05292444,29,0,1,,2,D,,A,2,D,,A
20241,05292454,7,0,1,,2,D,,A,2,D,,A
20241,05292474,44,0,1,,2,D,,A,2,D,,A
20241,05292494,35,0,1,,2,D,,A,2,D,,A
20241,05292514,44,0,1,,2,D,,A,2,D,,A
20241,05292544,99,0,1,,2,D,,A,2,D,,A
20241,05292644,31,0,1,,2,D,,A,2,D,,A
20241,05292674,25,0,1,,2,D,,A,2,D,,A
20241,05292684,38,0,1,,2,D,,A,2,D,,A
20241,05292794,48,0,1,,2,D,,A,2,D,,A
20241,05292824,42,0,1,,2,D,,A,2,D,,A
20241,05292834,30,0,1,,2,D,,A,2,D,,A
20241,05292844,37,0,1,,2,D,,A,2,D,,A
20241,05292854,21,0,1,,2,D,,A,2,D,,A
20241,05292894,40,0,1,,2,D,,A,2,D,,A
20241,05292914,26,0,1,,2,D,,A,2,D,,A
20241,05292934,39,0,1,,2,D,,A,2,D,,A
20241,05292954,48,0,1,,2,D,,A,2,D,,A
20241,05292984,28,0,1,,2,D,,A,2,D,,A
20241,05292994,24,0,1,,2,D,,A,2,D,,A
20241,05293014,63,0,1,,2,D,,A,2,D,,A
20241,05293074,33,0,1,,2,D,,A,2,D,,A
20241,05293084,17,0,1,,2,D,,A,2,D,,A
20241,05293184,22,0,1,,2,D,,A,2,D,,A
20241,05293254,17,0,1,,2,D,,A,2,D,,A
20241,05293274,31,0,1,,2,D,,A,2,D,,A
20241,05293324,28,0,1,,2,D,,A,2,D,,A
20241,05293344,11,0,1,,2,D,,A,2,D,,A
20241,05293374,37,0,1,,2,D,,A,2,D,,A
20241,05293424,36,0,1,,2,D,,A,2,D,,A
20241,05293434,64,0,1,,2,D,,A,2,D,,A
20241,05293524,32,0,1,,2,D,,A,2,D,,A
20241,05293534,20,0,1,,2,D,,A,2,D,,A
20241,05293554,46,0,1,,2,D,,A,2,D,,A
20241,05293574,20,0,1,,2,D,,A,2,D,,A
20241,05293594,17,0,1,,2,D,,A,2,D,,A
20241,05293604,45,0,1,,2,D,,A,2,D,,A
20241,05293634,39,0,1,,2,D,,A,2,D,,A
20241,05293644,33,0,1,,2,D,,A,2,D,,A
20241,05293674,58,0,1,,2,D,,A,2,D,,A
20241,05293684,31,0,1,,2,D,,A,2,D,,A
20241,05293694,65,0,1,,2,D,,A,2,D,,A
20241,05293774,28,0,1,,2,D,,A,2,D,,A
20241,05293784,39,0,1,,2,D,,A,2,D,,A
20241,05293824,13,0,1,,1,D,89,D,2,D,,A
20241,05293844,35,0,1,,2,D,,A,2,D,,A
20241,05293854,39,0,1,,2,D,,A,2,D,,A
20241,05293874,48,0,1,,2,D,,A,2,D,,A
20241,05293894,40,0,1,,2,D,,A,2,D,,A
20241,05293954,69,0,1,,2,D,,A,2,D,,A
20241,05293984,23,0,1,,2,D,,A,2,D,,A
20241,05294024,23,0,1,,2,D,,A,2,D,,A
20241,05294074,44,0,1,,2,D,,A,2,D,,A
20241,05294084,45,0,1,,2,D,,A,2,D,,A
20241,05294114,16,0,1,,2,D,,A,2,D,,A
20241,05294124,36,0,1,,2,D,,A,2,D,,A
20241,05294164,11,0,1,,2,D,,A,2,D,,A
20241,05294214,42,0,1,,2,D,,A,2,D,,A
20241,05294254,43,0,1,,2,D,,A,2,D,,A
20241,05294284,26,0,1,,2,D,,A,2,D,,A
20241,05294314,50,0,1,,2,D,,A,2,D,,A
20241,05294394,63,0,1,,2,D,,A,2,D,,A
20241,05294434,11,0,1,,2,D,,A,2,D,,A
20241,05294474,29,0,1,,2,D,,A,2,D,,A
20241,05294484,19,0,1,,2,D,,A,2,D,,A
20241,05294504,23,0,1,,2,D,,A,2,D,,A
20241,05294514,7,0,1,,2,D,,A,2,D,,A
20241,05294544,22,0,1,,2,D,,A,2,D,,A
20241,05294564,36,0,1,,2,D,,A,2,D,,A
20241,05294594,30,0,1,,2,D,,A,2,D,,A
20241,05294664,47,0,1,,2,D,,A,2,D,,A
20241,05294694,26,0,1,,2,D,,A,2,D,,A
20241,05294704,34,0,1,,2,D,,A,2,D,,A
20241,05294774,31,0,1,,2,D,,A,2,D,,A
20241,05294794,13,0,1,,2,D,,A,2,D,,A
20241,05294834,15,0,1,,2,D,,A,2,D,,A
20241,05294844,25,0,1,,2,D,,A,2,D,,A
20241,05294854,43,0,1,,2,D,,A,2,D,,A
20241,05294864,80,0,1,,2,D,,A,2,D,,A
20241,05294924,83,0,1,,2,D,,A,2,D,,A
20241,05294944,23,0,1,,2,D,,A,2,D,,A
20241,05294994,8,0,1,,2,D,,A,2,D,,A
20241,05295014,26,0,1,,2,D,,A,2,D,,A
20241,05295034,27,0,1,,2,D,,A,2,D,,A
20241,05295104,79,0,1,,2,D,,A,2,D,,A
20241,05295134,32,0,1,,2,D,,A,2,D,,A
20241,05295204,25,0,1,,2,D,,A,2,D,,A
20241,05295214,28,0,1,,2,D,,A,1,D,120,D
20241,05295234,23,0,1,,2,D,,A,2,D,,A
20241,05295254,31,0,1,,2,D,,A,2,D,,A
20241,05295344,25,0,1,,2,D,,A,2,D,,A
20241,05295384,50,0,1,,2,D,,A,2,D,,A
20241,05295414,53,0,1,,2,D,,A,2,D,,A
20241,05295474,45,0,1,,2,D,,A,2,D,,A
20241,05295484,11,0,1,,2,D,,A,2,D,,A
20241,05295514,39,0,1,,2,D,,A,2,D,,A
20241,05295534,46,0,1,,2,D,,A,2,D,,A
20241,05295554,38,0,1,,2,D,,A,2,D,,A
20241,05295564,105,0,1,,2,D,,A,2,D,,A
20241,05295584,33,0,1,,2,D,,A,2,D,,A
20241,05295624,38,0,1,,2,D,,A,2,D,,A
20241,05295634,53,0,1,,2,D,,A,2,D,,A
20241,05295644,35,0,1,,2,D,,A,2,D,,A
20241,05295734,44,0,1,,2,D,,A,2,D,,A
20241,05295744,26,0,1,,2,D,,A,2,D,,A
20241,05295754,14,0,1,,2,D,,A,2,D,,A
20241,05295774,33,0,1,,2,D,,A,2,D,,A
20241,05295834,51,0,1,,2,D,,A,2,D,,A
20241,05295894,8,0,1,,2,D,,A,2,D,,A
20241,05295924,23,0,1,,2,D,,A,2,D,,A
20241,05295964,14,0,1,,2,D,,A,2,D,,A
20241,05295974,64,0,1,,2,D,,A,2,D,,A
20241,05295984,29,0,1,,2,D,,A,2,D,,A
20241,05295994,21,0,1,,2,D,,A,2,D,,A
20241,05296064,43,0,1,,2,D,,A,2,D,,A
20241,05296104,64,0,1,,2,D,,A,2,D,,A
20241,05296214,32,0,1,,2,D,,A,2,D,,A
20241,05296254,50,0,1,,2,D,,A,2,D,,A
20241,05296264,59,0,1,,2,D,,A,2,D,,A
20241,05296274,31,0,1,,2,D,,A,2,D,,A
20241,05296314,39,0,1,,2,D,,A,2,D,,A
20241,05296324,29,0,1,,2,D,,A,2,D,,A
20241,05296334,82,0,1,,2,D,,A,2,D,,A
20241,05296384,40,0,1,,2,D,,A,2,D,,A
20241,05296394,9,0,1,,2,D,,A,2,D,,A
20241,05296414,31,0,1,,2,D,,A,2,D,,A
20241,05296424,19,0,1,,2,D,,A,2,D,,A
20241,05296524,38,0,1,,2,D,,A,2,D,,A
20241,05296584,46,0,1,,2,D,,A,2,D,,A
20241,05296634,41,0,1,,2,D,,A,2,D,,A
20241,05296644,48,0,1,,2,D,,A,2,D,,A
20241,05296684,10,0,1,,2,D,,A,2,D,,A
20241,05296724,20,0,1,,2,D,,A,2,D,,A
20241,05296734,50,0,1,,1,D,22,D,2,D,,A
20241,05296754,19,0,1,,2,D,,A,2,D,,A
20241,05296764,40,0,1,,2,D,,A,2,D,,A
20241,05296774,35,0,1,,2,D,,A,2,D,,A
20241,05296804,31,0,1,,2,D,,A,2,D,,A
20241,05296814,39,0,1,,2,D,,A,2,D,,A
20241,05296834,34,0,1,,2,D,,A,2,D,,A
20241,05296844,36,0,1,,2,D,,A,2,D,,A
20241,05296894,94,0,1,,2,D,,A,2,D,,A
20241,05296904,32,0,1,,2,D,,A,2,D,,A
20241,05296934,16,0,1,,2,D,,A,2,D,,A
20241,05296944,80,0,1,,2,D,,A,2,D,,A
20241,05296964,21,0,1,,2,D,,A,2,D,,A
20241,05296984,34,0,1,,2,D,,A,2,D,,A
20241,05296994,15,0,1,,2,D,,A,2,D,,A
20241,05297024,54,0,1,,2,D,,A,2,D,,A
20241,05297124,7,0,1,,2,D,,A,2,D,,A
20241,05297134,19,0,1,,2,D,,A,2,D,,A
20241,05297164,33,0,1,,2,D,,A,2,D,,A
20241,05297184,28,0,1,,2,D,,A,2,D,,A
20241,05297274,40,0,1,,2,D,,A,2,D,,A
20241,05297344,49,0,1,,2,D,,A,2,D,,A
20241,05297364,19,0,1,,2,D,,A,2,D,,A
20241,05297374,20,0,1,,2,D,,A,2,D,,A
20241,05297394,35,0,1,,2,D,,A,2,D,,A
20241,05297404,19,0,1,,2,D,,A,2,D,,A
20241,05297444,27,0,1,,2,D,,A,2,D,,A
20241,05297504,17,0,1,,2,D,,A,2,D,,A
20241,05297544,33,0,1,,2,D,,A,2,D,,A
20241,05297594,33,0,1,,2,D,,A,2,D,,A
20241,05297604,31,0,1,,2,D,,A,2,D,,A
20241,05297614,20,0,1,,2,D,,A,2,D,,A
20241,05297644,33,0,1,,2,D,,A,2,D,,A
20241,05297654,26,0,1,,2,D,,A,2,D,,A
20241,05343734,20,0,1,,2,D,,A,2,D,,A
20241,05343864,29,0,1,,2,D,,A,2,D,,A
20241,05343894,27,0,1,,2,D,,A,2,D,,A
20241,05343904,18,0,1,,2,D,,A,2,D,,A
20241,05343924,27,0,1,,2,D,,A,2,D,,A
20241,05343964,55,0,1,,2,D,,A,2,D,,A
20241,05344034,32,0,1,,2,D,,A,2,D,,A
20241,05344084,53,0,1,,2,D,,A,2,D,,A
20241,05344114,25,0,1,,2,D,,A,2,D,,A
20241,05344144,12,0,1,,2,D,,A,2,D,,A
20241,05344164,36,0,1,,2,D,,A,2,D,,A
20241,05344234,50,0,1,,2,D,,A,2,D,,A
20241,05344244,39,0,1,,2,D,,A,2,D,,A
20241,05344274,30,0,1,,2,D,,A,2,D,,A
20241,05344324,56,0,1,,2,D,,A,2,D,,A
20241,05344334,16,0,1,,2,D,,A,2,D,,A
20241,05344354,34,0,1,,2,D,,A,2,D,,A
20241,05344364,36,0,1,,2,D,,A,2,D,,A
20241,05344424,18,0,1,,2,D,,A,2,D,,A
20241,05344444,32,0,1,,2,D,,A,2,D,,A
20241,05344514,42,0,1,,2,D,,A,2,D,,A
20241,05344524,18,0,1,,2,D,,A,2,D,,A
20241,05344544,19,0,1,,2,D,,A,2,D,,A
20241,05344564,57,0,1,,2,D,,A,2,D,,A
20241,05344624,7,0,1,,2,D,,A,2,D,,A
20241,05344634,36,0,1,,2,D,,A,2,D,,A
20241,05344664,24,0,1,,2,D,,A,2,D,,A
