QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CGTEXPW,CGTEXPW_,OTOBQ,OTOBQ_,JFDBAWQV,JFDB_WQV,JALCHMQV,JALC_MQV,JGREXPQV,JGRE_PQV,JCGEXPQV,JCGE_PQV,JOTOBQV,JOTOBQV_,JFDGFTQV,JFDG_TQV,CGTPURCH,OTBPURCH
20241,05288264,5,0,1,2,D,2,D,1300,D,0,D,1950,D,,A,,A,0,D,,
20241,05288324,6,0,1,2,D,2,D,260,D,0,D,780,D,,A,,A,0,D,,
20241,05288334,6,0,1,1,D,1,D,1950,D,975,D,3250,D,975,D,975,D,0,D,,
20241,05288354,11,0,1,2,D,2,D,1300,D,78,D,1950,D,,A,,A,220,D,,
20241,05288404,4,0,1,2,D,2,D,260,D,0,D,975,D,,A,,A,0,D,,
20241,05288494,3,0,1,2,D,2,D,975,D,0,D,1950,D,,A,,A,0,D,,
20241,05288544,5,0,1,2,D,2,D,780,D,0,D,2600,D,,A,,A,0,D,,
20241,05288564,2,0,1,2,D,2,D,650,D,325,D,2600,D,,A,,A,0,D,,
20241,05288604,6,0,1,2,D,2,D,182,D,0,D,1950,D,,A,,A,0,D,,
20241,05288624,3,0,1,2,D,2,D,390,D,0,D,1300,D,,A,,A,25,D,,
20241,05288664,4,0,1,2,D,2,D,780,D,65,D,2600,D,,A,,A,20,D,,
20241,05288674,2,0,1,2,D,2,D,1300,D,0,D,1950,D,,A,,A,0,D,,
20241,05288694,4,0,1,1,D,2,D,3250,D,0,D,2600,D,2340,D,,A,0,D,,
20241,05288704,4,0,1,2,D,2,D,0,D,0,D,260,D,,A,,A,0,D,,
20241,05288714,4,0,1,2,D,2,D,260,D,0,D,1625,D,,A,,A,0,D,,
20241,05288744,4,0,1,2,D,2,D,1040,D,0,D,2600,D,,A,,A,10,D,,
20241,05288764,3,0,1,2,D,2,D,260,D,0,D,390,D,,A,,A,0,D,,
20241,05288854,3,0,1,2,D,2,D,260,D,0,D,2015,D,,A,,A,0,D,,
20241,05288864,2,0,1,2,D,2,D,2600,D,260,D,520,D,,A,,A,0,D,,
20241,05288884,9,0,1,2,D,2,D,650,D,0,D,3250,D,,A,,A,0,D,,
20241,05288894,5,0,1,2,D,2,D,520,D,0,D,4550,D,,A,,A,100,D,,
20241,05288944,4,0,1,2,D,2,D,195,D,169,D,5200,D,,A,,A,150,D,,
20241,05288954,5,0,1,2,D,2,D,1300,D,0,D,2288,D,,A,,A,0,D,,
20241,05289004,2,0,1,1,D,2,D,1300,D,0,D,1560,D,169,D,,A,0,D,,
20241,05289024,6,0,1,2,D,2,D,364,D,26,D,1690,D,,A,,A,60,D,,
20241,05289044,7,0,1,2,D,2,D,195,D,195,D,1625,D,,A,,A,0,D,,
20241,05289064,8,0,1,2,D,2,D,325,D,260,D,1300,D,,A,,A,0,D,,
20241,05289074,2,0,1,1,D,2,D,1950,D,0,D,1300,D,650,D,,A,0,D,,
20241,05289114,5,0,1,2,D,2,D,520,D,0,D,1300,D,,A,,A,0,D,,
20241,05289124,9,0,1,2,D,2,D,1950,D,260,D,2600,D,,A,,A,30,D,,
