QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20241,05289474,2,0,1,170,D,11,D,2000,D
20241,05289494,10,0,1,170,D,12,D,200,D
20241,05289494,11,0,2,140,D,10,D,20,D
20241,05289574,3,0,1,170,D,13,D,35,D
20241,05289574,4,0,1,170,D,11,D,125,D
20241,05289574,5,0,1,170,D,12,D,150,D
20241,05289734,2,0,1,160,D,13,D,40,D
20241,05289774,7,0,1,170,D,12,D,500,D
20241,05289864,3,0,2,160,D,10,D,100,D
20241,05289894,5,0,1,110,D,13,D,350,D
20241,05289894,6,0,1,160,D,12,D,20,D
20241,05289984,3,0,1,170,D,12,D,100,D
20241,05290044,2,0,1,150,D,12,D,800,D
20241,05290094,2,0,1,160,D,11,D,1000,D
20241,05290094,3,0,2,150,D,10,D,680,D
20241,05290144,2,0,1,170,D,12,D,20,D
20241,05290184,2,0,1,170,D,12,D,59,D
20241,05290194,5,0,1,160,D,13,D,20,D
20241,05290194,6,0,1,160,D,13,D,5,D
20241,05290234,3,0,1,110,D,13,D,700,D
20241,05290244,4,0,1,160,D,13,D,900,D
20241,05290254,8,0,1,170,D,12,D,9000,D
20241,05290264,3,0,1,120,D,13,D,3440,F
20241,05290384,3,0,1,150,D,13,D,200,D
20241,05290414,9,0,1,170,D,11,D,1000,D
20241,05290424,3,0,1,170,D,12,D,200,D
20241,05290444,2,0,1,100,D,11,D,500,D
20241,05290514,3,0,1,170,D,12,D,200,D
20241,05290514,4,0,1,170,D,12,D,555,D
20241,05290514,5,0,1,130,D,12,D,50,D
20241,05290514,6,0,1,160,D,11,D,200,D
20241,05290514,7,0,1,160,D,11,D,200,D
20241,05290514,8,0,1,160,D,12,D,7,D
20241,05290524,2,0,1,170,D,12,D,850,D
20241,05290534,7,0,1,100,D,13,D,520,D
20241,05290544,2,0,1,170,D,13,D,2,D
20241,05290704,4,0,1,150,D,10,D,100,D
20241,05290704,5,0,1,150,D,11,D,90,D
20241,05290704,6,0,1,150,D,12,D,380,D
20241,05290704,7,0,2,150,D,10,D,100,D
20241,05290754,2,0,1,180,D,12,D,4500,D
20241,05290764,7,0,1,170,D,13,D,75,D
20241,05290764,8,0,1,150,D,13,D,450,D
20241,05290784,2,0,1,170,D,12,D,100,D
20241,05290914,6,0,2,160,D,10,D,1500,D
20241,05290924,3,0,1,170,D,13,D,250,D
20241,05290924,4,0,1,110,D,13,D,725,D
20241,05290964,2,0,1,160,D,13,D,15,D
20241,05291044,5,0,1,100,D,12,D,250,D
20241,05291074,4,0,1,170,D,12,D,500,D
20241,05291074,5,0,1,160,D,13,D,200,D
20241,05291094,3,0,1,160,D,10,D,45,D
20241,05291124,6,0,1,160,D,13,D,5,D
20241,05291124,7,0,1,160,D,13,D,25,D
20241,05291154,3,0,1,150,D,13,D,150,D
20241,05291184,2,0,1,130,D,10,D,3000,D
20241,05291184,3,0,1,150,D,10,D,40,D
20241,05291184,4,0,1,150,D,12,D,31209,T
20241,05291294,2,0,1,150,D,13,D,1000,D
20241,05291414,5,0,1,150,D,13,D,1800,D
20241,05291424,4,0,1,150,D,13,D,100,D
20241,05291424,5,0,1,160,D,12,D,50,D
20241,05291424,6,0,2,160,D,10,D,100,D
20241,05291484,3,0,1,150,D,13,D,50,D
20241,05291674,4,0,1,170,D,12,D,50,D
20241,05291674,5,0,1,150,D,13,D,10,D
20241,05291774,3,0,1,170,D,12,D,200,D
20241,05291814,2,0,1,150,D,13,D,20,D
20241,05291894,2,0,1,170,D,12,D,400,D
20241,05291914,4,0,1,150,D,13,D,60,D
20241,05291924,4,0,1,170,D,12,D,100,D
20241,05291974,3,0,1,150,D,13,D,80,D
20241,05291974,4,0,1,160,D,13,D,100,D
20241,05292074,4,0,1,170,D,13,D,1100,D
20241,05292074,5,0,1,160,D,13,D,500,D
20241,05292074,6,0,1,150,D,13,D,300,D
20241,05292084,4,0,1,160,D,13,D,19,D
20241,05292094,4,0,1,160,D,12,D,200,D
20241,05292114,7,0,1,170,D,12,D,165,D
20241,05292114,8,0,1,160,D,12,D,10,D
20241,05292234,2,0,1,130,D,12,D,3629,F
20241,05292234,3,0,1,160,D,13,D,989,F
20241,05292274,3,0,1,150,D,13,D,200,D
20241,05292294,2,0,2,170,D,10,D,200,D
20241,05292384,4,0,1,170,D,12,D,400,D
20241,05292434,2,0,1,160,D,13,D,20,D
20241,05292514,6,0,1,170,D,12,D,100,D
20241,05292544,10,0,1,170,D,12,D,250,D
20241,05292544,11,0,1,160,D,13,D,40,D
20241,05292644,3,0,1,170,D,12,D,1000,D
20241,05292644,4,0,1,160,D,13,D,20,D
20241,05292674,2,0,1,150,D,13,D,300,D
20241,05292684,2,0,1,150,D,13,D,446,F
20241,05292794,7,0,1,140,D,13,D,12,D
20241,05292794,8,0,1,160,D,12,D,15,D
20241,05292844,3,0,1,140,D,13,D,50,D
20241,05292844,4,0,1,160,D,13,D,60,D
20241,05292934,3,0,1,160,D,13,D,25,D
20241,05292934,4,0,1,160,D,12,D,150,D
20241,05292954,4,0,1,170,D,10,D,150,D
20241,05292954,5,0,1,170,D,13,D,400,D
20241,05292954,6,0,1,150,D,13,D,100,D
20241,05292984,2,0,1,170,D,12,D,100,D
20241,05292984,3,0,1,160,D,12,D,10,D
20241,05292994,2,0,1,170,D,12,D,600,D
20241,05293014,5,0,1,170,D,12,D,100,D
20241,05293014,6,0,1,170,D,12,D,50,D
20241,05293014,7,0,1,130,D,13,D,12,D
20241,05293184,2,0,1,170,D,10,D,30,D
20241,05293254,2,0,1,170,D,12,D,200,D
20241,05293254,3,0,1,150,D,10,D,80,D
20241,05293254,4,0,1,150,D,11,D,80,D
20241,05293434,11,0,1,170,D,12,D,750,D
20241,05293524,4,0,1,150,D,13,D,500,D
20241,05293524,5,0,1,160,D,12,D,500,D
20241,05293554,2,0,1,170,D,10,D,100,D
20241,05293554,3,0,1,170,D,11,D,100,D
20241,05293554,4,0,1,170,D,12,D,100,D
20241,05293554,5,0,1,150,D,12,D,113,D
20241,05293554,6,0,1,150,D,10,D,1600,D
20241,05293554,7,0,1,150,D,10,D,31209,T
20241,05293604,3,0,1,150,D,13,D,400,D
20241,05293604,4,0,1,160,D,13,D,38,D
20241,05293604,5,0,1,160,D,13,D,53,D
20241,05293634,2,0,1,170,D,12,D,200,D
20241,05293694,5,0,1,170,D,10,D,58,D
20241,05293784,3,0,1,170,D,12,D,31209,T
20241,05293784,4,0,1,160,D,13,D,100,D
20241,05293844,6,0,1,150,D,12,D,446,F
20241,05293874,2,0,1,170,D,10,D,675,D
20241,05293874,3,0,1,170,D,11,D,1585,D
20241,05293874,4,0,1,170,D,12,D,3100,D
20241,05293874,5,0,1,140,D,10,D,50,D
20241,05293874,6,0,1,140,D,11,D,360,D
20241,05293874,7,0,1,150,D,13,D,87,D
20241,05293874,8,0,1,150,D,12,D,700,D
20241,05293954,5,0,1,170,D,12,D,500,D
20241,05293954,6,0,1,170,D,13,D,150,D
20241,05293954,7,0,1,160,D,13,D,10,D
20241,05293984,9,0,1,100,D,10,D,75,D
20241,05293984,10,0,1,160,D,13,D,10,D
20241,05294024,2,0,1,110,D,13,D,200,D
20241,05294084,3,0,1,150,D,13,D,170,D
20241,05294214,2,0,1,170,D,12,D,125,D
20241,05294214,3,0,1,160,D,12,D,200,D
20241,05294254,7,0,1,170,D,12,D,40,D
20241,05294254,8,0,1,150,D,13,D,300,D
20241,05294314,3,0,1,160,D,11,D,50,D
20241,05294394,2,0,1,170,D,10,D,155,D
20241,05294394,3,0,1,150,D,13,D,710,D
20241,05294394,4,0,1,150,D,12,D,1000,D
20241,05294394,5,0,1,150,D,13,D,75,D
20241,05294394,6,0,1,150,D,13,D,86,D
20241,05294394,7,0,1,150,D,13,D,50,D
20241,05294394,8,0,1,150,D,10,D,100,D
20241,05294394,9,0,2,150,D,10,D,2000,D
20241,05294394,10,0,2,150,D,10,D,100,D
20241,05294594,2,0,1,150,D,13,D,125,D
20241,05294664,4,0,1,150,D,13,D,400,D
20241,05294694,3,0,1,150,D,13,D,314,F
20241,05294704,2,0,1,150,D,10,D,75,D
