QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20243,05674712,14,0,1,345,D,,A,07,D,,A,,A,,,450,A,D
20243,05674742,22,0,1,225,D,,A,06,D,,A,,A,,,30,A,D
20243,05674742,23,0,1,225,D,,A,07,D,,A,,A,,,60,A,D
20243,05674742,24,0,1,365,D,,A,06,D,,A,,A,,,300,A,D
20243,05675182,6,0,1,100,D,1,D,13,D,,A,,A,,,450,A,D
20243,05675182,7,0,1,200,D,,A,13,D,,A,,A,,,3612,A,D
20243,05675752,10,0,1,100,D,2,D,07,D,,A,,A,,,100,A,D
20243,05676432,8,0,1,365,D,,A,07,D,,A,,A,,,150,A,D
20243,05676482,5,0,1,321,D,,A,,A,5,D,50,D,,,50,A,D
20243,05676652,7,0,1,365,D,,A,13,D,,A,,A,,,108,A,D
20243,05676662,8,0,1,200,D,,A,13,D,,A,,A,,,624,A,D
20243,05676942,12,0,1,225,D,,A,13,D,,A,,A,,,2700,A,D
20243,05677032,13,0,1,301,D,,A,06,D,,A,,A,,,203,A,D
20243,05677032,14,0,1,301,D,,A,06,D,,A,,A,,,220,A,D
20243,05677132,5,0,1,303,D,,A,05,D,,A,,A,,,450,A,D
20243,05677132,6,0,1,303,D,,A,06,D,,A,,A,,,450,A,D
20243,05677132,7,0,1,303,D,,A,07,D,,A,,A,,,1000,A,D
20243,05677202,5,0,1,303,D,,A,07,D,,A,,A,,,3300,A,D
20243,05677462,7,0,1,301,D,,A,13,D,,A,,A,,,15000,A,D
20243,05677892,4,0,1,200,D,,A,07,D,,A,,A,,,5500,A,D
20243,05677892,5,0,1,200,D,,A,08,D,,A,,A,,,2500,A,D
20243,05678094,4,0,1,321,D,,A,,A,1,D,,A,2,,30,D,D
20243,05678422,13,0,1,303,D,,A,13,D,,A,,A,,,600,A,D
20243,05678432,7,0,2,365,D,,A,06,D,,A,,A,,,20,A,D
20243,05678752,11,0,1,303,D,,A,08,D,,A,,A,,,2734,A,D
20243,05678752,12,0,1,310,D,,A,13,D,,A,,A,,,1950,A,D
20243,05678752,13,0,1,365,D,,A,08,D,,A,,A,,,500,A,D
20243,05678792,11,0,1,225,D,,A,13,D,,A,,A,,,600,A,D
20243,05679242,8,0,1,301,D,,A,13,D,,A,,A,,,1731,A,D
20243,05679242,9,0,1,321,D,,A,,A,4,D,,A,1,,25,D,D
20243,05679282,12,0,1,303,D,,A,08,D,,A,,A,,,9688,A,D
20243,05679282,13,0,1,365,D,,A,08,D,,A,,A,,,103,A,D
20243,05679282,14,0,1,365,D,,A,07,D,,A,,A,,,140,A,D
20243,05679622,4,0,1,200,D,,A,13,D,,A,,A,,,960,A,D
20243,05679752,7,0,1,365,D,,A,08,D,,A,,A,,,150,A,D
20243,05680482,6,0,1,100,D,1,D,13,D,,A,,A,,,450,A,D
20243,05680622,10,0,1,301,D,,A,08,D,,A,,A,,,78,A,D
20243,05680622,11,0,1,321,D,,A,,A,5,D,200,D,,,200,A,D
20243,05681322,5,0,1,303,D,,A,13,D,,A,,A,,,405,A,D
20243,05681322,6,0,1,340,D,,A,13,D,,A,,A,,,780,A,D
20243,05681322,7,0,1,345,D,,A,13,D,,A,,A,,,600,A,D
20243,05681352,10,0,1,100,D,,C,13,D,,A,,A,,,3600,A,D
20243,05681352,11,0,1,301,D,,A,13,D,,A,,A,,,3150,A,D
20243,05681352,12,0,1,301,D,,A,13,D,,A,,A,,,3150,A,D
20243,05681352,13,0,1,345,D,,A,13,D,,A,,A,,,1200,A,D
20243,05681462,5,0,1,301,D,,A,06,D,,A,,A,,,70,A,D
20243,05681462,6,0,1,365,D,,A,07,D,,A,,A,,,250,A,D
20243,05681712,9,0,1,100,D,1,D,13,D,,A,,A,,,1500,A,D
20243,05681712,10,0,1,310,D,,A,07,D,,A,,A,,,1000,A,D
20243,05681912,5,0,1,365,D,,A,08,D,,A,,A,,,250,A,D
20243,05681912,6,0,1,200,D,,A,13,D,,A,,A,,,1500,A,D
20243,05681912,7,0,1,365,D,,A,06,D,,A,,A,,,575,A,D
20243,05681942,4,0,1,321,D,,A,,A,2,D,,A,4,,80,D,D
20243,05682042,5,0,1,365,D,,A,08,D,,A,,A,,,13,A,D
20243,05682292,6,0,1,301,D,,A,08,D,,A,,A,,,45,A,D
20243,05682432,7,0,1,400,D,,A,08,D,,A,,A,,,,A,H
20243,05682432,7,1,1,365,D,,A,08,D,,A,,A,,,1101,A,E
20243,05682432,7,2,1,321,D,,A,08,D,,A,,A,,,880,A,E
20243,05682432,7,3,1,303,D,,A,08,D,,A,,A,,,8635,A,E
20243,05682432,8,0,1,310,D,,A,08,D,,A,,A,,,900,A,D
20243,05682792,8,0,1,225,D,,A,06,D,,A,,A,,,90,A,D
20243,05682872,5,0,1,365,D,,A,08,D,,A,,A,,,360,A,D
20243,05682952,13,0,1,303,D,,A,08,D,,A,,A,,,20000,A,D
20243,05682952,14,0,1,310,D,,A,08,D,,A,,A,,,10000,A,D
20243,05682952,15,0,1,365,D,,A,08,D,,A,,A,,,1000,A,D
20243,05683032,17,0,1,303,D,,A,06,D,,A,,A,,,810,A,D
20243,05683032,18,0,1,365,D,,A,08,D,,A,,A,,,75,A,D
20243,05683102,8,0,1,321,D,,A,,A,3,D,,A,2,,80,D,D
20243,05683172,9,0,1,365,D,,A,06,D,,A,,A,,,90,A,D
20243,05683172,10,0,1,365,D,,A,07,D,,A,,A,,,180,A,D
20243,05683172,11,0,1,365,D,,A,08,D,,A,,A,,,208,A,D
20243,05683172,12,0,1,345,D,,A,06,D,,A,,A,,,44,A,D
20243,05683172,13,0,1,345,D,,A,07,D,,A,,A,,,325,A,D
20243,05683172,14,0,1,345,D,,A,08,D,,A,,A,,,133,A,D
20243,05683302,6,0,1,335,D,,A,08,D,,A,,A,,,,A,H
20243,05683302,6,1,1,310,D,,A,08,D,,A,,A,,,695,A,E
20243,05683302,6,2,1,321,D,,A,08,D,,A,,A,,,13,A,E
20243,05683302,6,3,1,303,D,,A,08,D,,A,,A,,,192,A,E
20243,05683392,6,0,1,345,D,,A,13,D,,A,,A,,,600,A,D
20243,05683422,11,0,1,100,D,2,D,06,D,,A,,A,,,18000,A,D
20243,05683422,12,0,1,100,D,2,D,07,D,,A,,A,,,18000,A,D
20243,05683452,5,0,1,303,D,,A,13,D,,A,,A,,,900,A,D
20243,05683492,7,0,1,303,D,,A,06,D,,A,,A,,,9000,A,D
20243,05683492,8,0,1,303,D,,A,07,D,,A,,A,,,11000,A,D
20243,05683492,9,0,1,303,D,,A,08,D,,A,,A,,,2000,A,D
20243,05683492,10,0,1,365,D,,A,13,D,,A,,A,,,900,A,D
20243,05683652,6,0,1,303,D,,A,13,D,,A,,A,,,210,A,D
20243,05683662,5,0,1,365,D,,A,08,D,,A,,A,,,250,A,D
20243,05683742,4,0,1,100,D,,C,06,D,,A,,A,,,400,A,D
20243,05683812,7,0,1,100,D,2,D,13,D,,A,,A,,,6000,A,D
20243,05683812,8,0,1,301,D,,A,13,D,,A,,A,,,7050,A,D
20243,05683922,5,0,1,365,D,,A,08,D,,A,,A,,,90,A,D
20243,05683942,8,0,1,100,D,2,D,13,D,,A,,A,,,450,A,D
20243,05683942,9,0,1,303,D,,A,06,D,,A,,A,,1,2500,A,D
20243,05683942,10,0,1,365,D,,A,08,D,,A,,A,,,300,A,D
20243,05683992,14,0,1,100,D,2,D,13,D,,A,,A,,,1350,A,D
20243,05683992,15,0,1,301,D,,A,08,D,,A,,A,,,400,A,D
20243,05683992,16,0,1,303,D,,A,08,D,,A,,A,,,2200,A,D
20243,05683992,17,0,1,365,D,,A,08,D,,A,,A,,,300,A,D
20243,05683992,18,0,2,365,D,,A,06,D,,A,,A,,,200,A,D
20243,05684002,8,0,1,301,D,,A,08,D,,A,,A,,1,380,A,D
20243,05684012,6,0,1,100,D,1,D,13,D,,A,,A,,,2250,A,D
20243,05684062,7,0,1,303,D,,A,07,D,,A,,A,,,4500,A,D
20243,05684102,12,0,1,303,D,,A,08,D,,A,,A,,,1200,A,D
20243,05684102,13,0,1,365,D,,A,08,D,,A,,A,,,300,A,D
20243,05684502,6,0,1,303,D,,A,08,D,,A,,A,,1,10000,A,D
20243,05684502,7,0,1,310,D,,A,08,D,,A,,A,,,7000,A,D
20243,05684502,8,0,1,321,D,,A,,A,5,D,2000,D,,,2000,A,D
20243,05684502,9,0,1,365,D,,A,08,D,,A,,A,,1,200,A,D
20243,05684592,11,0,1,302,D,,A,13,D,,A,,A,,,297,A,D
20243,05684712,5,0,1,302,D,,A,07,D,,A,,A,,1,150,A,D
20243,05684712,6,0,1,302,D,,A,06,D,,A,,A,,1,150,A,D
20243,05684732,7,0,1,365,D,,A,06,D,,A,,A,,,200,A,D
20243,05684774,4,0,1,303,D,,A,13,D,,A,,A,,,300,A,D
20243,05684782,6,0,1,200,D,,A,08,D,,A,,A,,,125,A,D
20243,05685012,12,0,1,365,D,,A,07,D,,A,,A,,2,80,A,D
20243,05685044,4,0,1,321,D,,A,,A,4,D,,A,1,,25,D,D
20243,05685102,7,0,1,310,D,,A,13,D,,A,,A,,,2730,A,D
20243,05685262,5,0,1,100,D,2,D,13,D,,A,,A,,,300,A,D
20243,05685262,6,0,1,200,D,,A,13,D,,A,,A,,,3990,A,D
20243,05685262,7,0,1,365,D,,A,08,D,,A,,A,,,75,A,D
20243,05685482,9,0,1,303,D,,A,07,D,,A,,A,,,3200,A,D
20243,05685482,10,0,1,345,D,,A,13,D,,A,,A,,,1038,A,D
20243,05685632,7,0,1,200,D,,A,13,D,,A,,A,,,1200,A,D
